,company_name,average_salary,total_sale
138,알라딘커뮤니케이션,"3,476만원",4575.5억원
139,까사미아,"4,292만원",1183.6억원
140,한독모터스,"4,305만원",1.2조원
141,아이에스이커머스,"4,544만원",95.2억원
142,더본코리아,"4,623만원",1765.4억원
143,케이비원,회사없음,회사없음
144,아이피엑스,"6,032만원",121.8억원
145,익스피다이터스코리아,"6,032만원",796.2억원
146,에스와이에스리테일,"5,287만원",8783.5억원
147,영원무역,"6,813만원",1.4조원
148,SK네트웍스,"6,549만원",8.2조원
149,초록마을,"3,707만원",2001.8억원
150,대구교통공사,회사없음,회사없음
151,세방,회사없음,회사없음
152,포에버21코리아리테일,회사없음,회사없음
153,한국휴렛팩커드,"6,032만원",7825.1억원
154,하나로티앤에스,"4,742만원",5509.8억원
155,디케이에스에이치코리아,"4,632만원",1025.3억원
156,룩옵틱스,"3,334만원",413.6억원
157,용마로지스,"5,131만원",3048.5억원
158,코레일네트웍스,"4,644만원",996.5억원
159,한세엠케이,"4,435만원",1493억원
160,크레이버코퍼레이션,회사없음,회사없음
161,크레텍책임,"5,612만원",3727.9억원
162,다비치안경체인,"3,278만원",1억원
163,인천국제공항공사,"8,247만원",4904.6억원
164,한익스프레스,"5,405만원",6889.9억원
165,아름다운가게,"3,011만원",352.5억원
166,영풍문고,"3,224만원",1449억원
167,메르세데스벤츠코리아,"6,032만원",6.1조원
168,에스지세계물산,"5,519만원",3096억원
169,한진해운,"3,838만원",7.7조원
170,카버코리아,"6,032만원",4505.1억원
171,티웨이항공,"4,065만원",2144.4억원
172,서울문고,"3,711만원",692.5억원
173,리앤풍한국,"5,830만원",118.7억원
174,하이네켄코리아,"5,379만원",1380.2억원
175,혜인식품,"3,751만원",586.3억원
176,비엠더블유코리아,"6,032만원",4.7조원
177,롯데쇼핑,"4,716만원",8.4조원
178,에어부산,"3,940만원",1765억원
179,한국머스크,"5,965만원",181.9억원
180,올가홀푸드,"3,599만원",775.8억원
181,인천교통공사,"5,594만원",1697.6억원
182,유피에스에스씨에스코리아,"5,084만원",265.5억원
183,팬오션,"11,448만원",4.1조원
184,한일후지코리아,"4,705만원",1469.6억원
185,태웅로직스,"6,447만원",8669.5억원
186,도이치모터스,"5,140만원",1.4조원
187,모다아울렛,회사없음,회사없음
188,애플코리아,"4,308만원",738만원
189,중소기업유통센터,"6,238만원",882.3억원
190,밀레코리아,"5,335만원",561.3억원
191,이스트엔드,"4,195만",81.3억원
192,사노피아벤티스코리아,"6,032만원",4383.3억원
193,한국공항,"5,227만원",3295.9억원
194,키엔스코리아,"5,590만원",2191.2억원
195,오피스디포코리아,"3,928만원",1746.8억원
196,지에스왓슨스,회사없음,회사없음
197,유니코로지스틱스,"5,481만원",4546.5억원
198,한국존슨앤드존슨메디칼,"5,677만원",1168.6억원
199,현대종합상사,회사없음,회사없음
200,와우벤처스,"2,128만원",276.1억원
201,대구백화점,"3,597만원",956.5억원
202,폭스바겐그룹코리아,회사없음,회사없음
203,우아한청년들,"2,964만원",7210.8억원
204,교촌에프앤비,"6,713만원",3692.5억원
205,해피랜드에프앤씨,"3,044만원",1335억원
206,바바리안모터스,"3,653만원",8687.5억원
207,슈나이더일렉트릭코리아,"6,032만원",2124.9억원
208,쥴릭파마코리아,"5,642만원",9099억원
209,소니코리아,"6,032만원",1.5조원
210,한국엠에스디,"6,032만원",5419.5억원
211,이폴리움,"4,458만원",268.6억원
212,리레코코리아,"4,320만원",227.9억원
213,엘에스네트웍스,회사없음,회사없음
214,장금상선,"6,032만원",2.2조원
215,한화갤러리아,"2,681만원",3442억원
216,롯데아사히주류,"5,932만원",623.1억원
217,디에스브이에어앤씨,"5,187만원",2542.1억원
218,씨이오인터내셔널,"3,971만원",489.6억원
219,디에이치엘글로벌포워딩코리아,"6,032만원",4072.2억원
220,칼자이스,"6,032만원",2258억원
221,한국팜비오,"5,840만원",920.1억원
222,일룸,"4,738만원",3710.3억원
223,대원미디어,"4,636만원",2337.9억원
224,힐티코리아,"5,856만원",932.6억원
225,마리오아울렛,회사없음1,회사없음1
226,천삼백케이,회사없음,회사없음
227,씨티씨바이오,"4,646만원",1037.4억원
228,디에스이엔,"5,589만원",840.4억원
229,케어캠프,"4,172만원",6907.8억원
230,파슬코리아,"3,796만원",916.6억원
231,풍림무약,"4,706만원",789.5억원
232,젬백스링크,"5,018만원",1097.2억원
233,백제약품,"5,046만원",1.7조원
234,체리쉬,"4,750만원",157.6억원
235,코레일유통,"4,793만원",2074.1억원
236,히타치하이테크코리아,"6,032만원",1187.4억원
237,비에이치씨,"4,843만원",회사없음
238,뮬라,"4,795만원",418.4억원
239,제이씨현시스템,"4,941만원",1989.7억원
240,농협하나로마트 ,회사없음,회사없음
241,메틀러토레도코리아,"5,460만원",649.5억원
242,아이씨뱅큐,"3,344만원",408.1억원
243,천일정기화물자동차,"4,146만원",1824억원
244,파나소닉디바이스세일즈코리아,"6,032만원",5871.6억원
245,한국애보트,"6,032만원",2050.5억원
246,한국에머슨프로세스매니지먼트,"5,458만원",2.1억원
247,코리아이플랫폼,"4,820만원",4967.1억원
248,투쿨포스쿨,"4,066만원",705.2억원
249,머크,"6,032만원",3858.5억원
250,케이지케미칼,"6,098만원",1601.4억원
251,뉴트리원,"5,742만원",2686억원
252,선진로지스틱스,"4,724만원",540.6억원
253,디만트코리아,"4,186만원",209.3억원
254,서영이앤티,"4,367만원",822.9억원
255,버버리코리아,"4,345만원",2431.1억원
256,퀴네앤드나겔,"6,032만원",3098.4억원
257,더블유컨셉코리아,"5,224만원",999.9억원
258,한국일본통운,"6,032만원",1682.3억원
259,자안그룹,"2,099만원",495.7억원
260,푸마코리아,"5,380만원",1494.5억원
261,에스엔패션그룹,"3,575만원",636.2억원
262,롯데상사,"5,747만원",5805.7억원
263,패션플러스,회사없음,회사없음
264,그룹세브코리아,"5,662만원",1977.3억원
265,로젠,수집 중..,7억원
266,도루코,회사없음,회사없음
267,포탈하이웨이,"4,768만원",966.1억원
268,한국무라타전자,"6,032만원",1.4조원
269,비기닝리테일,"3,512만원",275.8억원
270,피에르파브르더모코스메틱코리아 ,"5,575만",329.2억원
271,디자인벤처스,"4,069만원",262.4억원
272,서울메트로,수집 중..,1.2조원
273,위본모터스,"4,148만원",3023.7억원
274,전자랜드,"5,287만원",8783.5억원
275,피피비스튜디오스,"3,993만원",200.2억원
276,스와로브스키코리아,"3,904만원",671.1억원
277,한국노바티스,"6,032만원",5442.3억원
278,디케이메디칼솔루션,"5,614만원",650.5억원
279,한국먼디파마,"6,032만원",846.5억원
280,한국알콘,"6,032만원",2383.6억원
281,대상베스트코,"1,912만원",5715.4억원
282,레스모아,회사없음,회사없음
283,브랜드유니버스,"4,220만원",975.5억원
284,한국로슈진단,"6,032만원",3413.3억원
285,마카스,"4,207만원",185.1억원
286,언더아머코리아,"3,240만원",1306.2억원
287,오아,"4,816만원",891.9억원
288,한솔로지스틱스,"2,745만원",7.8억원
289,바이어스도르프코리아,"5,534만원",484.6억원
290,아트라스콥코코리아,"5,911만원",1651.9억원
291,커머스플래닛,회사없음,회사없음
292,행복나래,"5,378만원",9256.8억원
293,휠라홀딩스,"5,386만원",2994만원
294,인터파크인터내셔널,"3,267만원",255.3억원
295,STX,"7,133만원",6478억원
296,동부익스프레스,"4,834만원",5.6억원
297,디엔컴퍼니,"4,081만원",386.2억원
298,마녀공장,"4,731만원",626.2억원
299,한국금거래소쓰리엠,"4,047만원",2.7조원
300,더샘인터내셔날,"4,943만원",509.1억원
