,company_name,average_salary,total_sale
201,뽀로로파크,"3,176만원",137.1억원
202,아스타아이비에스,회사없음,회사없음
203,에이치디씨리조트,"4,156만원",945.6억원
204,씨에스리더,"4,217만원",458.8억원
205,피에스아이컨설팅,"3,969만원",57.3억원
206,신안종합리조트 웰리힐리파크,"2,829만원",395.7억원
207,자유투어,"1,980만원",294억원
208,가연결혼정보,회사없음,회사없음
209,코리아크레딧뷰로,"6,032만원",1281.5억원
210,부산정보산업진흥원 ,회사없음,회사없음
211,다날에프엔비,"2,504만원",116.9억원
212,더맨,"3,015만원",575.5억원
213,제이제이케터링,회사없음,회사없음
214,한국공예디자인문화진흥원,회사없음,회사없음
215,나뚜루 ,"4,615만원",1.5조원
216,아이센스에프앤씨,"3,808만원",3.3억원
217,인트로맨,"2,950만원",488.3억원
218,아난티,"4,944만원",1348.7억원
219,오알피연구소,"4,855만원",84.1억원
220,이씨엠디,"3,137만원",5.8억원
221,성균관대학교 산학협력단,"3,630만원",2506억원
222,한국경영원,"2,585만원",2.3억원
223,원마운트,"3,041만원",241.7억원
224,게이트고메코리아,"5,229만원",1537.2억원
225,동양이엠에스,"2,801만원",911.3억원
226,SDL Korea,회사없음,회사없음
227,웅진플레이도시,"2,282만원",309.3억원
228,테라로사커피,회사없음,회사없음
229,블루원,"4,737만원",729.1억원
230,플레이스엠,"3,964만원",165.7억원
231,서울신용평가정보,"3,878만원",466.7억원
232,에이에스티,"2,261만원",12.8억원
233,유끼커뮤니케이션,"4,417만원",28억원
234,투어이천,"1,314만원",108.9억원
235,휴먼코아,"3,062만원",430.1억원
236,아고다트레블오퍼레이션스코리아,"3,779만원",127.9억원
237,에이치엔씨네트워크,"3,038만원",336.9억원
238,현대엔지비,"5,898만원",633.4억원
239,에스팀,"4,109만원",135.4억원
