,company_name,average_salary,total_sale
0,케이비데이타시스템,"6,032만원",1721.6억원
1,스포티비,"4,438만원",642.8억원
2,펜타시큐리티시스템,"5,204만원",263.4억원
3,미소,"1,160만원",5.4억원
4,스마일게이트스토브,"3,195만원",746.3억원
5,싸이버원,"4,462만원",221.9억원
6,마음에이아이,회사없음,회사없음
7,바이브컴퍼니,"4,775만원",442.5억원
8,아시아나아이디티,"6,398만원",1747.2억원
9,한솔인티큐브,"5,690만원",582.5억원
10,네오싸이언,"4,241만원",227.8억원
11,그린랩스,"5,764만원",966.7억원
12,쿠프마케팅,수집 중..,726.6억원
13,대신정보통신,"4,759만원",1.6억원
14,에쓰씨케이,"5,597만원",180.1억원
15,엑셈,"5,155만원",366.3억원
16,우리요,"3,580만원",7.1억원
17,타이탄플랫폼,"4,986만원",15억원
18,엔카닷컴,"4,686만원",695.6억원
19,엘솔컴퍼니,"2,154만원",134.7억원
20,스카우트,회사없음,회사없음
21,시큐아이,"6,907만원",1250억원
22,인포뱅크,"6,742만원",1010.3억원
23,뱅크웨어글로벌,"5,724만원",935.3억원
24,솔트룩스,"5,777만원",229.4억원
25,아이엠비씨,"5,883만원",359.5억원
26,아이온커뮤니케이션즈,"5,300만원",178.9억원
27,에티버스,"5,253만원",5258억원
28,영림원소프트랩,"6,090만원",475.3억원
29,농협정보시스템,"6,032만원",2849억원
30,예스콜닷컴,"5,018만원",318억원
31,엔텔스,"6,151만원",562.3억원
32,한국통신인터넷기술,"4,145만원",158.4억원
33,오케이몰,"3,642만원",2886억원
34,디지틀조선일보,"5,227만원",313.6억원
35,곰앤컴퍼니,"3,765만원",68.4억원
36,위버스마인드,"3,795만원",560.7억원
37,한국지역정보개발원,"6,032만원",1573.4억원
38,캐스트이즈,"5,326만원",149.3억원
39,이퓨전아이,"4,173만원",61억원
40,잉카인터넷,"4,572만원",111.2억원
41,파이오링크,"5,417만원",543.3억원
42,무브게임즈,"3,289만원",110.1억원
43,굿어스,"5,782만원",397.7억원
44,인피니트헬스케어,"5,022만원",412.6억원
45,플립커뮤니케이션즈,"5,106만원",156.6억원
46,케이엘정보통신,"4,307만원",887.3억원
47,빗썸코리아,"10,749만원",1조원
48,에이텍,"3,290만원",182억원
49,굿모닝아이텍,"5,046만원",1089.3억원
50,한빛소프트,"3,677만원",290.6억원
51,에스에이피코리아,"4,201만원",21.5억원
52,한일네트웍스,회사없음,회사없음
53,씨디네트웍스,"6,195만원",297.2억원
54,이테크시스템,"5,034만원",2909.5억원
55,큐로드,"3,762만원",172.8억원
56,현대에이치디에스,"6,032만원",956.2억원
57,골드넥스,"3,278만원",172.1억원
58,라온시큐어,"5,055만원",314.5억원
59,위니텍,회사없음,회사없음
60,하이브랩,"2,371만원",2.5억원
61,네비웍스,"4,465만원",118.6억원
62,투비소프트,회사없음,회사없음
63,알앤비소프트,"4,779만원",573.7억원
64,유엔젤,"7,312만원",287.3억원
65,이데일리,"5,388만원",365.9억원
66,웹이즈,"3,500만원",270.1억원
67,미디어젠,"3,727만원",150억원
68,엠에스티씨,"3,563만원",97.9억원
69,코비젼,1만원,211.1억원
70,유플리트,"5,046만원",130.4억원
71,피씨엔,"3,408만원",17.2억원
72,펀엔씨,"5,861만원",312.1억원
73,디케이유엔씨,"4,429만원",1930.8억원
74,미래아이콘,회사없음,회사없음
75,한국모바일인증,"4,499만원",191.3억원
76,에이쓰리시큐리티,"4,458만원",73.5억원
77,토비스,"7,231만원",2511.2억원
78,데브시스터즈,"5,869만원",3701.9억원
79,더크림유니언,"4,071만원",244.9억원
80,한국내쇼날인스트루먼트,"5,932만원",560.9억원
81,집토스,"4,431만원",30.1억원
82,아스템즈,"4,459만원",246.8억원
83,드래곤플라이,"4,764만원",35.7억원
84,에이치엔아이엔씨,"4,909만원",2601.4억원
85,엔에이치엔다이퀘스트,"5,055만원",113.4억원
86,테크빌교육,"3,672만원",208.9억원
87,레진엔터테인먼트,회사없음1,회사없음1
88,아이피그룹,"4,045만원",52.8억원
89,한국정보통신,"4,037만원",13.8억원
90,소만사,"5,173만원",443.5억원
91,에이에스피엔,"5,020만원",348.2억원
92,엠로,"5,827만원",441.5억원
93,진코퍼레이션,"4,675만원",437.5억원
94,티디아이,"2,761만원",5.3억원
95,후이즈,"3,454만원",140.8억원
96,큐드,"3,027만원",66.3억원
97,코코네엠,회사없음,회사없음
98,한진정보통신,"6,032만원",1338.2억원
99,나온소프트,"4,932만원",163.9억원
