,company_name,average_salary,total_sale
313,에이치엘클레무브,"6,082만원",5473.1억원
314,일동후디스,"4,166만원",2260.7억원
315,참엔지니어링,"7,101만원",902.8억원
316,동희산업,"6,032만원",5716.2억원
317,솔리티,"4,871만원",908.1억원
318,유도,"6,032만원",1390.1억원
319,오텍캐리어,"5,775만원",6323.7억원
320,미래컴퍼니,회사없음,회사없음
321,롯데네슬레코리아,"4,589만원",1616.7억원
322,대한산업안전협회,"6,032만원",1357.9억원
323,진합,"4,898만원",2469.5억원
324,모트렉스,"7,342만원",2897.7억원
325,아이디스,"4,306만원",52.3억원
326,엘엑스세미콘,"6,082만원",1.9조원
327,유니크,"5,720만원",2459.3억원
328,코리아나화장품,"4,784만원",1045억원
329,져스텍,"5,260만원",293.7억원
330,에스에너지,"4,067만원",1741.8억원
331,노벨리스코리아,"6,032만원",2.2조원
332,시몬스,"4,583만원",3053.7억원
333,포스코퓨처엠,회사없음,회사없음
334,해성디에스,"8,988만원",6553.7억원
335,아우딘퓨쳐스,"3,881만원",444.5억원
336,한솔테크닉스,"5,741만원",6156.5억원
337,듀폰코리아,"5,932만원",3032.8억원
338,피에스케이,"8,080만원",4229.2억원
339,에이테크솔루션,"4,153만원",19.6억원
340,삼우코리아,"4,156만원",358.9억원
341,로보스타,"5,430만원",1390.1억원
342,화신,"7,374만원",7249.7억원
343,우진산전,"4,164만원",18.5억원
344,코텍,"1,663만원",8.9억원
345,캐논쎄미콘덕터엔지니어링코리아,"6,032만원",1240.4억원
346,성주디앤디,"5,243만원",3347억원
347,에넥스,"4,896만원",2003.2억원
348,웅진에너지,"3,579만원",886.7억원
349,현대미포조선,"8,611만원",2.9조원
350,대동공업,"6,637만원",6204.5억원
351,한국바스프,"6,082만원",2.7조원
352,지오다노,"3,618만원",1820.4억원
353,카펙발레오,"6,032만원",5456.4억원
354,시선인터내셔널,"2,012만원",16만원
355,씨티알,"2,673만원",4억원
356,비에이치아이,"5,830만원",2334.6억원
357,쿠첸,"4,658만원",1633.4억원
358,그레닉스,"2,589만원",279.6억원
359,아이에스시,"4,534만원",1494억원
360,현대케피코,"10,577만원",2조원
361,한국미쓰비시엘리베이터,"5,918만원",2057.2억원
362,라벨영,"3,819만원",205.6억원
363,휴니드테크놀러지스,"6,496만원",1946.7억원
364,제이브이엠,"5,467만원",995.6억원
365,사조대림,"5,640만원",1.2조원
366,광전자,"4,037만원",1607.5억원
367,린나이코리아,"6,032만원",3146.2억원
368,하이즈항공,"3,264만원",200.5억원
369,팔도,회사없음,회사없음
370,강림중공업,"5,151만원",1437.1억원
371,스테코,"2,975만원",25.6억원
372,아이티엠반도체,"4,877만원",4885.3억원
373,한국씰마스타,"5,353만원",763.4억원
374,아진산업,"4,874만원",239.9억원
375,청오디피케이,"3,112만원",2234.5억원
376,실크로드시앤티,"5,243만원",1335.6억원
377,참존,"3,680만원",831억원
378,평화발레오,"6,032만원",7189.5억원
379,유한킴벌리,"6,082만원",1.3조원
380,대현,"4,221만원",136.2억원
381,와이솔,"5,192만원",1891.1억원
382,고려아연,"9,500만원",7.2조원
383,에스케이스페셜티,회사없음,회사없음
384,한국야금,회사없음,회사없음
385,선앤엘,"5,801만원",3183.9억원
386,에스디생명공학,"5,028만원",783.8억원
387,에프에스티,"4,919만원",2090.8억원
388,동화기업,"4,768만원",167.1억원
389,루멘스,"5,567만원",1297.6억원
390,다스,"6,082만원",7680억원
391,엘오티베큠,"5,468만원",2461.7억원
392,동원시스템즈,회사없음1,회사없음1
393,대유위니아,"7,401만원",4.9억원
394,인터엠,회사없음,회사없음
395,강남제비스코,"6,148만원",2968.4억원
396,롯데알미늄,"6,032만원",7696.2억원
397,경인양행,"4,162만원",54.9억원
398,아바코,"6,143만원",2251.4억원
399,보쉬전장,"6,032만원",2803억원
400,일진디스플레이,회사없음,회사없음
401,한국존슨앤드존슨,"5,677만원",1168.6억원
402,지이헬스케어코리아,"6,032만원",2417.1억원
403,한솔제지,"8,535만원",1.6조원
404,루트로닉,"6,269만원",1368.6억원
405,케이이씨,"5,412만원",1193.2억원
406,뷰웍스,"6,435만원",1827.2억원
407,크루셜텍,"7,081만원",410.9억원
408,불스원,"6,457만원",1263.8억원
409,티비에이치글로벌,"5,414만원",1880.8억원
410,미래나노텍,"6,904만원",3164.5억원
411,노바렉스,"4,233만원",2783.3억원
412,이래오토모티브시스템,"5,621만원",4억원
413,리한,회사없음,회사없음
414,BYC,"3,732만원",1632.9억원
415,비알코리아,회사없음,회사없음
416,코렌스,"4,903만원",3444.3억원
417,유비쿼스홀딩스,"6,003만원",63.8억원
418,한국하니웰,"6,032만원",2737.2억원
419,세진중공업,"3,898만원",2216.6억원
420,대구텍,회사없음,회사없음
421,평화정공,"6,631만원",6267.1억원
422,한전원자력연료,"6,070만원",3237.3억원
423,인팩,회사없음,회사없음
424,크레신,"5,983만원",2403.7억원
425,그린광학,"4,719만원",323.1억원
426,동서기공,"1,997만원",31.7억원
427,쌍방울,"4,093만원",919.6억원
428,이노와이어리스,"6,094만원",611.8억원
429,피닉스다트,"3,939만원",171.7억원
430,에쓰푸드,"2,881만원",1.4억원
431,현대삼호중공업,"8,445만원",4.1조원
432,정식품,"3,212만원",95.7억원
433,하이비젼시스템,"7,702만원",2545.9억원
434,지에스칼텍스,"15,332만원",32.5조원
435,아이올리,"4,313만원",1414.5억원
436,에쓰오일,"17,323만원",24.4조원
437,한국몰렉스,"6,032만원",3374.1억원
438,현대에버다임,"5,370만원",2647.1억원
439,현진스포텍,"6,032만원",2334.9억원
440,이미인,"3,828만원",605.5억원
441,세원이앤씨,회사없음,회사없음
442,인디에프,"5,612만원",1483.8억원
443,뉴파워프라즈마,"7,209만원",937.8억원
444,휴비스,회사없음,회사없음
445,파크랜드,"3,852만원",1564.4억원
446,심텍홀딩스,"9,019만원",40.2억원
447,로체시스템즈,"6,678만원",1100.5억원
448,인탑스,"4,145만원",4154.9억원
449,안다르,"4,039만원",1144.2억원
450,금호에이치티,"4,739만원",1973.1억원
451,삼성다이나에이치백,회사없음,회사없음
452,제이엔지코리아,회사없음,회사없음
453,코스알엑스,"4,837만원",1233.5억원
454,이라이콤,"5,686만원",1510.9억원
455,한화토탈에너지스,"6,082만원",9.8조원
456,다다씨앤씨,"5,723만원",167.8억원
457,로얄앤컴퍼니,"4,295만원",460.7억원
458,티디케이한국,"5,590만원",1284.6억원
459,비비안,"4,486만원",1698.3억원
460,볼보그룹코리아 건설기계부문,회사없음,회사없음
461,에스피반도체통신,"3,510만원",527.2억원
462,웰크론,"4,651만원",1100.8억원
463,진주햄,"4,781만원",1109.8억원
464,삼화양행,"4,209만원",1189.7억원
465,원익머트리얼즈,"7,219만원",2994.6억원
466,파인디지털,"5,068만원",851.2억원
467,금호석유화학,"14,012만원",5.5조원
468,남양인터내셔날,"4,891만원",2142.4억원
469,동원산업,"3,728만원",433억원
470,린컴퍼니,"4,479만원",514.7억원
471,희성전자,"6,032만원",1486.3억원
472,동광인터내셔날,"4,465만원",1305.5억원
473,케이브랜즈,"1,994만원",1299.4억원
474,큐엠씨,"4,702만원",105.2억원
475,대구경북첨단의료산업진흥재단,회사없음,회사없음
476,코스온,"8,030만원",874.3억원
477,파나시아,회사없음,회사없음
478,평화오일씰공업,"5,377만원",2789.4억원
479,삼송,회사없음,회사없음
480,메가젠임플란트,"4,796만원",1654.4억원
481,대덕지디에스,"5,442만원",4566.1억원
482,코튼클럽,"4,365만원",595.5억원
483,인텍전기전자,"4,769만원",1090.2억원
484,덴티스,"3,455만원",522.4억원
485,쎄크,"4,718만원",297.1억원
486,그린코스,"4,104만원",11.6억원
487,미원상사,"5,608만원",3446.6억원
488,신화인터텍,"4,713만원",2178.4억원
489,현담산업,"5,612만원",2620.2억원
490,본느,"2,083만원",202.2억원
491,제이오텍,"4,102만원",518.7억원
492,크리스에프앤씨,"4,490만원",3759.4억원
493,아이쓰리시스템,"4,668만원",797.2억원
494,유진기업,회사없음,회사없음
495,씨앤씨인터내셔널,"3,675만원",836.6억원
496,신양금속공업,"5,308만원",2146.2억원
497,유엘코리아,"5,688만원",275.1억원
498,티씨케이,"7,620만원",2707.7억원
499,하나머티리얼즈,"7,428만원",2711억원
500,잉크테크,"4,364만원",529.7억원
501,풀무원,"5,763만원",1165억원
502,코리아에프티,"5,323만원",2622.7억원
503,한화케미칼,회사없음,회사없음
504,아로마티카,"4,996만원",262.7억원
505,지아이티,"4,030만원",33.5억원
506,뱅뱅어패럴,"4,102만원",718.1억원
507,유텔,"4,823만원",494.8억원
508,대원강업,"8,556만원",6192.4억원
509,오토리브,"5,927만원",4170.7억원
510,윈저글로벌,회사없음,회사없음
511,두산테스나,회사없음,회사없음
512,서울우유협동조합,"6,082만원",1.8조원
513,영풍,회사없음,회사없음
514,디엠에스,"2,972만원",626.9억원
515,삼기,회사없음,회사없음
516,이씨스,"3,083만원",1261.1억원
517,신성델타테크,"6,115만원",1591.2억원
518,신한다이아몬드공업,"4,676만원",1496.7억원
519,일진제강,"5,808만원",2873.4억원
520,에이스브이,"4,552만원",102.3억원
521,램리서치코리아,"6,032만원",9971.6억원
522,알피니언메디칼시스템,"5,122만원",569.2억원
523,티유브이라인란드코리아,"5,924만원",418.5억원
524,더스킨팩토리,"4,092만원",805.8억원
525,대림비앤코,회사없음,회사없음
526,대우전자부품,"5,648만원",991.8억원
527,무림페이퍼,회사없음,회사없음
528,서울바이오시스,"5,062만원",2570.6억원
529,위닉스,"2,207만원",179.9억원
530,영실업,회사없음,회사없음
531,파주전기초자,"5,884만원",4662.7억원
532,포스코에너지,"10,659만원",1.9조원
533,한서실업,"4,462만원",925.4억원
534,현대오트론,"7,680만원",539.4억원
535,경농,회사없음,회사없음
536,제이앤티씨,"4,435만원",1013.5억원
537,말레동현필터시스템,"5,778만원",2071.6억원
538,한국옵티칼하이테크,"5,827만원",2181.2억원
539,디이엔티,"3,980만원",420.4억
540,윈팩,"4,593만원",1014.4억원
541,넥스콘테크놀러지,"3,352만원",27.3억원
542,젯아이씨,"4,592만원",665.9억원
543,대승,"4,012만원",59.2억원
544,심팩,"3,552만원",31.2억원
545,고려제강,"6,124만원",4968.1억원
546,듀링,"4,728만원",956.1억원
547,에스티엑스엔진,"6,853만원",4582.8억원
548,에이스침대,"4,617만원",3454.2억원
549,유니레버코리아,"5,915만원",912.5억원
550,한영넉스,"3,827만원",625.5억원
551,더네이쳐홀딩스,"3,772만원",3690.5억원
552,풀무원녹즙,"6,032만원",781억원
553,화승코퍼레이션,"5,521만원",777.3억원
554,에스지씨솔루션,"4,903만원",2470.6억원
555,조광페인트,"5,789만원",2332.4억원
556,지에스엔텍,회사없음,회사없음
557,에스티아이,"6,491만원",2675.7억원
558,티피씨메카트로닉스,"4,496만원",792.6억원
559,일진다이아몬드,"4,750만원",616.1억원
560,엔피씨,"7,270만원",3785.1억원
561,전기초자코리아,"5,852만원",2549.9억원
562,상아프론테크,"5,128만원",1327.3억원
563,시너스텍,"5,509만원",2356억원
564,지엔코,"4,247만원",902.9억원
565,서울화장품,"4,019만원",925.7억원
566,싸이노스,"4,923만원",858.7억원
567,예림임업,"4,195만원",1293.9억원
568,제닉,회사없음,회사없음
569,에이원엔지니어링코리아,"5,197만원",518.4억원
570,티센크루프엘리베이터코리아,"5,495만원",6995.1억원
571,솔루엠,"3,288만원",6215.1억원
572,아이엠아이크리티컬엔지니어링코리아,"5,738만원",925.4억원
573,한국요꼬가와전기,"6,032만원",1697.2억원
574,한국호야전자,"5,858만원",1144.4억원
575,디티알,"2,681만원",3081.8억원
576,제이씨코리아,"4,397만원",547.4억원
577,글로텍엔지니어링,"5,144만원",436.7억원
578,대원산업,"5,019만원",454.2억원
579,동성화인텍,"6,061만원",3638.8억원
580,오뚜기라면,"2,842만원",6376.4억원
581,일레븐코퍼레이션,"3,974만원",236.4억원
582,광명산업,"5,544만원",26억원
583,제네랄일렉트릭인터내셔날인코포레이티드,"3,973만원",1377.7억원
584,태성환경연구소,"3,225만원",91.1억원
585,효성굿스프링스,"5,932만원",2089.8억원
586,오에이티씨,"3,942만원",127.8억원
587,이즈미디어,"10,479만원",472.2억원
588,패커드코리아,"6,032만원",2201.5억원
589,코스맥스바이오,"4,581만원",1622.9억원
590,케이에이치바텍,"7,348만원",282.9억원
591,에이엠텔레콤,"5,658만원",663.9억원
592,우인인더스트리즈,"4,978만원",1338.7억원
593,케이투코리아,"6,032만원",4022억원
594,테크로스,"2,765만원",1820.4억원
595,한성기업,회사없음,회사없음
596,에몬스가구,"4,709만원",1398.7억원
597,천호엔케어,"3,991만원",427억원
598,두원공조,"6,032만원",8841.1억원
599,삼부정밀화학,"5,247만원",1396.7억원
600,서진캠,"7,094만원",3180.9억원
601,아사아블로이코리아아이레보,회사없음,회사없음
602,케이지동부제철,회사없음,회사없음
603,현대파워텍,"5,638만원",2.9조원
604,평화산업,회사없음,회사없음
605,한국브렌슨,"5,653만원",328.7억원
606,독립문,"5,576만원",1139.1억원
607,동일라코스테,회사없음,회사없음
608,씨엔에프,수집 중..,703만원
609,미르기술,"5,036만원",365.9억원
610,엔케이,"3,440만원",129억원
611,태림포장,"6,013만원",6583.1억원
612,한국훼스토,"6,032만원",1086.1억원
613,해브앤비,"4,917만원",6072.3억원
614,옵트론텍,"5,194만원",1107.5억원
615,남양넥스모,"6,032만원",3515.4억원
616,양지사,"4,105만원",55.9억원
617,일화,회사없음,회사없음
618,삼보모터스,"7,407만원",3041.3억원
619,에스에스엘엠,"5,304만원",1700.5억원
620,영풍정밀,회사없음,회사없음
621,현대아이에이치엘,"6,032만원",4340.3억원
622,삼전순약공업,"4,265만원",944억원
623,새솔다이아몬드공업,"5,289만원",1238.7억원
624,아미코젠,"4,695만원",317.7억원
625,엘에스엠앤엠,회사없음,회사없음
626,두올,"4,359만원",2262.9억원
627,삼광,회사없음,회사없음
628,상보,"5,754만원",727.7억원
629,씨엠에이글로벌,"3,098만원",298.7억원
630,아이디룩,"5,325만원",2146.4억원
631,볼빅,"4,110만원",473.4억원
632,삼익티에이치케이,"5,737만원",3104.8억원
633,에스엔유프리시젼,"5,345만원",1137억원
634,와이엠티,"3,661만원",4.9억원
635,이엘케이,회사없음,회사없음
636,인텔리안테크놀로지스,"5,811만원",1231.1억원
637,케이엠,"2,313만원",37.6억원
638,신도산업,회사없음,회사없음
639,엘이디라이텍,"4,328만원",903.4억원
640,고운세상코스메틱,"5,286만원",1731.3억원
641,드림텍,회사없음,회사없음
642,디에이치오토웨어,회사없음,회사없음
643,베네통코리아,"4,909만원",1360.7억원
644,브이티코스메틱,"1,930만원",6913만원
645,이펙스,"4,549만원",1120.2억원
646,한국인삼공사,"6,082만원",1.3조원
647,영원아웃도어,"6,032만원",5444.8억원
648,윌로펌프,"6,032만원",2084억원
649,디젠,"4,254만원",107.4억원
650,원봉,"4,157만원",1361억원
651,창성,"4,323만원",21.2억원
652,태웅,회사없음,회사없음
653,조광아이엘아이,"4,274만원",314.6억원
654,화천기계,"7,025만원",1759.1억원
655,미팩토리,"4,172만원",268.5억원
656,비케이브,"3,865만원",1595.2억원
