,company_name,average_salary,total_sale
0,티몬,"4,122만원",1290.9억원
1,위메프,수집 중..,2448.1억원
2,엘지유플러스,"10,067만원",12.8조원
3,삼성에스디에스,"13,481만원",5조원
4,엘지씨엔에스,"10,936만원",3.8조원
5,케이티,"9,831만원",18.4조원
6,네이버,"13,257만원",5조원
7,더존비즈온,"5,100만원",3137.8억원
8,롯데정보통신,"6,252만원",9126억원
9,효성아이티엑스,회사없음,회사없음
10,카카오,"12,717만원",2.1조원
11,케이티씨에스,"3,859만원",64.8억원
12,엔씨소프트,"11,366만원",2.1조원
13,카페24,"6,572만원",1952.5억원
14,야놀자,"8,368만원",2809.1억원
15,씨제이올리브네트웍스,"6,082만원",5556.4억원
16,에스케이플래닛,"6,032만원",2806.3억원
17,지마켓,"6,082만원",회사없음1
18,SK텔레콤,"14,443만원",12.1조원
19,요기요,회사없음1,회사없음1
20,안랩,"6,399만원",1993.5억원
21,넥슨코리아,"6,082만원",1.9조원
22,사람인,회사없음,회사없음
23,인라이플,"4,618만원",791.1억원
24,케이티아이에스,"3,502만원",4680억원
25,한국아이비엠,"6,032만원",5582.1억원
26,인피닉,"3,410만원",235.4억원
27,티맥스소프트,"6,835만원",1180.4억원
28,케이티알파,"5,832만원",4714.8억원
29,우아한형제들,"6,082만원",2조원
30,미라콤아이앤씨,"8,264만원",3095.9억원
31,엔에이치엔,"1,285만원",1.9억원
32,현대오토에버,"9,336만원",1.7조원
33,케이티디에스,"6,082만원",5969.7억원
34,코리아센터,"4,513만원",876.4억원
35,콘센트릭스서비스코리아,"3,678만원",831.6억원
36,이글루코퍼레이션,"4,369만원",905.6억원
37,신한디에스,"6,082만원",2389.3억원
38,라인플러스,"2,778만원",10.8억원
39,한전케이디엔,"5,463만원",6255.7억원
40,커리어넷,회사없음,회사없음
41,다우기술,"8,535만원",2729억원
42,마이다스아이티,"7,470만원",529.7억원
43,에스케이,회사없음,회사없음
44,스펙업애드,"3,061만원",68.5억원
45,잡코리아 유한책임회사,회사없음,회사없음
46,넷마블,"7,443만원",1.3조원
47,넥슨네트웍스,"5,253만원",459.5억원
48,팅크웨어,"5,356만원",2051.3억원
49,엘에스산전,"8,621만원",1.8조원
50,브랜디,"3,305만원",1261.9억원
51,나이스평가정보,"9,691만원",4229.7억원
52,에스케이엠앤서비스,회사없음,회사없음
53,티시스,"3,456만원",2207.5억원
54,커넥트웨이브,회사없음,회사없음
55,여기어때,"5,581만원",2049.1억원
56,휴넷,회사없음,회사없음
57,컴투스,"7,384만원",4853.5억원
58,링크프라이스,"4,069만원",337.6억원
59,지에스아이티엠,"5,799만원",2548.4억원
60,와이즈스톤,회사없음,회사없음
61,비즈테크아이,회사없음,회사없음
62,엔테크서비스,"5,870만원",702억원
63,네오위즈,회사없음,회사없음
64,메가존,"3,861만원",1163.9억원
65,아이파트너즈,"3,535만원",9.9억원
66,디케이테크인,"4,594만원",277.9억원
67,롯데닷컴,"4,491만원",1945.7억원
68,신세계아이앤씨,"6,549만원",5260.9억원
69,현대이지웰,"4,814만원",965.2억원
70,아프리카티비,"6,665만원",2626.5억원
71,제로웹,"3,523만원",36.2억원
72,윈스,"3,185만원",7.8억원
73,지오시스,"4,735만원",90.3억원
74,와이즈넛,"4,859만원",354.1억원
75,써머스플랫폼,"4,466만원",325.1억원
76,에스케이커뮤니케이션즈,회사없음,회사없음
77,코나아이,"5,231만원",1896.6억원
78,케이지이니시스,"4,978만원",5982.2억원
79,미디어로그,"5,632만원",2477.7억원
80,아이뱅크,"3,931만원",195.4억원
81,직방,"6,032만원",558.8억원
82,데이터스트림즈,"4,607만원",230.9억원
83,엠서클,"4,081만원",526억원
84,와이즈와이어즈,"3,574만원",263.4억원
85,이스트소프트,"4,552만원",288.1억원
86,예스이십사,"3,958만원",6491.1억원
87,에스케이오앤에스,"6,082만원",2855.9억원
88,씨엔티테크,"3,608만원",182.5억원
89,위메이드,회사없음,회사없음
90,한국오라클,"6,032만원",8843.2억원
91,한국지능정보사회진흥원,"6,786만원",1.2조원
92,이카운트,"5,319만원",337억원
93,나비스오토모티브시스템즈,"6,032만원",776.1억원
94,이씨이십일,"4,836만원",141.2억원
95,줌인터넷,"4,468만원",2236만원
96,웹젠,"7,992만원",2863.2억원
97,어니컴,"3,674만원",229.7억원
98,에스케이브로드밴드,"11,204만원",4.1조원
99,와이드넷엔지니어링,"3,155만원",111.9억원
