,company_name,average_salary,total_sale
181,다쏘시스템코리아,"6,032만원",1761.3억원
182,코너크리에이티브,"5,095만원",18.9억원
183,코츠테크놀로지,"5,327만원",319억원
184,게임덱스,"3,698만원",123억원
185,다산네트웍솔루션즈,"5,952만원",2002.6억원
186,루키스,회사없음,회사없음
187,오케이포스,"4,388만원",307억원
188,유니파이,"3,235만원",88.4억원
189,퓨처젠,"5,143만원",649.8억원
190,네이버아이앤에스,"6,032만원",199.7억원
191,다하미커뮤니케이션즈,"4,360만원",210.8억원
192,미리디,"4,169만원",193.2억원
193,삼보컴퓨터,"3,486만원",896.2억원
194,시티랩스,"3,957만원",171.8억원
195,디자인커뮤니케이션,"2,916만원",10.7억원
196,아지앙스코리아,"4,798만원",67.7억원
197,키즈룹,"5,852만원",14.6억원
198,텔코웨어,"7,396만원",348.2억원
199,리틀팍스,"4,877만원",119.6억원
200,소셜뉴스,"3,178만원",105.1억원
201,쓰리디팩토리,"3,481만원",54.2억원
202,에이디앤스타일,"3,930만원",59.3억원
203,유젠,"5,278만원",151.4억원
204,지란지교소프트,"2,154만원",176.8억원
205,월급날,"4,125만원",39억원
206,이랜드시스템스,"5,234만원",396.1억원
207,인버스,회사없음,회사없음
208,드림인사이트,"3,917만원",122.3억원
209,씨아이솔루션,"4,036만원",127.1억원
210,아이에스에프넷코리아,"3,294만원",51.3억원
211,알엠소프트,"2,670만원",185.6억원
212,에이텍시스템,"3,875만원",162.3억원
213,재능이아카데미,"2,528만원",42.3억원
214,위지언,"4,689만원",14.3억원
215,잡플래닛,"4,985만원",92.8억원
216,티머니,"6,032만원",2168.5억원
217,일렉트로닉아츠코리아,회사없음,회사없음
218,동훈아이텍,"5,332만원",187.6억원
219,유니포인트,"4,135만원",815.3억원
220,윤디자인그룹,"3,590만원",54.4억원
221,아이엠씨게임즈,"4,502만원",95.2억원
222,아이크래프트,"4,951만원",863.6억원
223,오비고,"6,819만원",64.9억원
224,데이타솔루션,회사없음,회사없음
225,에스에스알,"3,950만원",2.3억원
226,지티원,"5,347만원",243.9억원
227,티아이스퀘어,"4,991만원",116.9억원
228,베스파,"8,880만원",419.4억원
229,스마트인피니,"3,606만원",181.6억원
230,이노트리,"5,154만원",159.9억원
231,포시에스,"4,999만원",229.6억원
232,하이브로,"4,387만원",78.7억원
233,오티아이,회사없음,회사없음
234,필아이티,회사없음,회사없음
235,두잇시스템,"4,593만원",298.3억원
236,씨티티디,"3,477만원",229.9억원
237,아비드이앤에프,"1,171만원",322.6억원
238,아이퀘스트,회사없음,회사없음
239,티쓰리엔터테인먼트,"5,735만원",231.3억원
240,미소정보기술,"4,346만원",80.2억원
241,지오투정보기술,"4,825만원",92.9억원
242,네이버웹툰,"5,305만원",1610.2억원
243,위두커뮤니케이션즈,"3,670만원",29억원
244,포켓몬코리아,"5,419만원",334.2억원
245,뉴스1,"5,677만원",358.3억원
246,다날엔터테인먼트,회사없음,회사없음
247,다우데이타,"5,093만원",2171.7억원
248,씨유기획,"3,339만원",76.5억원
249,아티언스,"4,356만원",182.6억원
250,집꾸미기,"3,953만원",55.3억원
251,헥토파이낸셜,회사없음,회사없음
252,노츠,"3,704만원",48.5억원
253,한국후지쯔,"6,032만원",1512.3억원
254,산업마케팅,"3,658만원",23.4억원
255,소리자바,"3,258만원",116.5억원
256,힙합퍼,"2,249만원",20.5억원
257,넛지헬스케어,"4,065만원",463.3억원
258,디에스글로벌,"3,233만원",47.6억원
259,이와이드플러스,"4,569만원",51.4억원
260,와이지플러스,"4,827만원",1204.3억원
261,선도소프트,"3,698만원",69.9억원
262,케이엘넷,"5,296만원",461.3억원
