,company_name,turn_over_rate
0,케이비데이타시스템,(8%)
1,스포티비,(28%)
2,펜타시큐리티시스템,(25%)
3,미소,(200%)
4,스마일게이트스토브,(138%)
5,싸이버원,(40%)
6,마음에이아이,(25%)
7,바이브컴퍼니,(62%)
8,아시아나아이디티,(15%)
9,한솔인티큐브,(19%)
10,네오싸이언,(46%)
11,그린랩스,(167%)
12,쿠프마케팅,정보없음.
13,대신정보통신,(88%)
14,에쓰씨케이,(22%)
15,엑셈,(14%)
16,우리요,(119%)
17,타이탄플랫폼,(100%)
18,엔카닷컴,(34%)
19,엘솔컴퍼니,(257%)
20,스카우트,(84%)
21,시큐아이,(16%)
22,인포뱅크,(18%)
23,뱅크웨어글로벌,(19%)
24,솔트룩스,(45%)
25,아이엠비씨,(18%)
26,아이온커뮤니케이션즈,(75%)
27,에티버스,(19%)
28,영림원소프트랩,(16%)
29,농협정보시스템,(12%)
30,예스콜닷컴,(44%)
31,엔텔스,(22%)
32,한국통신인터넷기술,(36%)
33,오케이몰,(50%)
34,디지틀조선일보,(15%)
35,곰앤컴퍼니,(47%)
36,위버스마인드,(31%)
37,한국지역정보개발원,(14%)
38,캐스트이즈,(32%)
39,이퓨전아이,(22%)
40,잉카인터넷,(25%)
41,파이오링크,(19%)
42,무브게임즈,(87%)
43,굿어스,(56%)
44,인피니트헬스케어,(14%)
45,플립커뮤니케이션즈,(25%)
46,케이엘정보통신,(27%)
47,빗썸코리아,(20%)
48,에이텍,(46%)
49,굿모닝아이텍,(18%)
50,한빛소프트,(16%)
51,에스에이피코리아,(12%)
52,한일네트웍스,(21%)
53,씨디네트웍스,(41%)
54,이테크시스템,(32%)
55,큐로드,(47%)
56,현대에이치디에스,(13%)
57,골드넥스,(53%)
58,라온시큐어,(40%)
59,위니텍,(47%)
60,하이브랩,(120%)
61,네비웍스,(21%)
62,투비소프트,(200%)
63,알앤비소프트,(39%)
64,유엔젤,(7%)
65,이데일리,(23%)
66,웹이즈,(3%)
67,미디어젠,(77%)
68,엠에스티씨,(35%)
69,코비젼,(100%)
70,유플리트,(51%)
71,피씨엔,(43%)
72,펀엔씨,(117%)
73,디케이유엔씨,(27%)
74,미래아이콘,(83%)
75,한국모바일인증,(27%)
76,에이쓰리시큐리티,(35%)
77,토비스,(14%)
78,데브시스터즈,(32%)
79,더크림유니언,(54%)
80,한국내쇼날인스트루먼트,(17%)
81,집토스,(182%)
82,아스템즈,(31%)
83,드래곤플라이,(22%)
84,에이치엔아이엔씨,(185%)
85,엔에이치엔다이퀘스트,(29%)
86,테크빌교육,(52%)
87,레진엔터테인먼트,(9999%)
88,아이피그룹,(31%)
89,한국정보통신,(15%)
90,소만사,(19%)
91,에이에스피엔,(19%)
92,엠로,(13%)
93,진코퍼레이션,(21%)
94,티디아이,(140%)
95,후이즈,(42%)
96,큐드,(59%)
97,코코네엠,(35%)
98,한진정보통신,(10%)
99,나온소프트,(18%)
