,company_name,turn_over_rate
210,한국엠에스디,(19%)
211,이폴리움,(53%)
212,리레코코리아,(23%)
213,엘에스네트웍스,(14%)
214,장금상선,(13%)
215,한화갤러리아,(108%)
216,롯데아사히주류,(8%)
217,디에스브이에어앤씨,(17%)
218,씨이오인터내셔널,(67%)
219,디에이치엘글로벌포워딩코리아,(15%)
220,칼자이스,(14%)
221,한국팜비오,(16%)
222,일룸,(34%)
223,대원미디어,(28%)
224,힐티코리아,(10%)
225,마리오아울렛,(9999%)
226,천삼백케이,정보없음.
227,씨티씨바이오,(22%)
228,디에스이엔,(413%)
229,케어캠프,(27%)
230,파슬코리아,(34%)
231,풍림무약,(28%)
232,젬백스링크,(47%)
233,백제약품,정보없음.
234,체리쉬,(74%)
235,코레일유통,(87%)
236,히타치하이테크코리아,(6%)
237,비에이치씨,(22%)
238,뮬라,(108%)
239,제이씨현시스템,(33%)
240,농협하나로마트 ,(9999%)
241,메틀러토레도코리아,(24%)
242,아이씨뱅큐,(38%)
243,천일정기화물자동차,(16%)
244,파나소닉디바이스세일즈코리아,(15%)
245,한국애보트,(14%)
246,한국에머슨프로세스매니지먼트,(6%)
247,코리아이플랫폼,(30%)
248,투쿨포스쿨,(42%)
249,머크,(13%)
250,케이지케미칼,(18%)
251,뉴트리원,(25%)
252,선진로지스틱스,(34%)
253,디만트코리아,(39%)
254,서영이앤티,(48%)
255,버버리코리아,(46%)
256,퀴네앤드나겔,(23%)
257,더블유컨셉코리아,(15%)
258,한국일본통운,(15%)
259,자안그룹,(204%)
260,푸마코리아,(38%)
261,에스엔패션그룹,(71%)
262,롯데상사,(18%)
263,패션플러스,(61%)
264,그룹세브코리아,(29%)
265,로젠,(11%)
266,도루코,(15%)
267,포탈하이웨이,(37%)
268,한국무라타전자,(8%)
269,비기닝리테일,(61%)
270,피에르파브르더모코스메틱코리아 ,(38%)
271,디자인벤처스,(52%)
272,서울메트로,정보없음.
273,위본모터스,(48%)
274,전자랜드,(50%)
275,피피비스튜디오스,(23%)
276,스와로브스키코리아,(38%)
277,한국노바티스,(23%)
278,디케이메디칼솔루션,(19%)
279,한국먼디파마,(64%)
280,한국알콘,(14%)
281,대상베스트코,(148%)
282,레스모아,(14666%)
283,브랜드유니버스,(191%)
284,한국로슈진단,(9%)
285,마카스,(22%)
286,언더아머코리아,(98%)
287,오아,(32%)
288,한솔로지스틱스,(20%)
289,바이어스도르프코리아,(35%)
290,아트라스콥코코리아,(18%)
291,커머스플래닛,정보없음.
292,행복나래,(13%)
293,휠라홀딩스,(25%)
294,인터파크인터내셔널,(57%)
295,STX,(27%)
296,동부익스프레스,(10%)
297,디엔컴퍼니,(34%)
298,마녀공장,(17%)
299,한국금거래소쓰리엠,(45%)
300,더샘인터내셔날,(12%)
301,오토앤,(30%)
302,밀레에델바이스홀딩스,(21%)
303,동성모터스,(22%)
304,오픈갤러리,(82%)
305,씨엠에이씨지엠코리아,(19%)
306,인터지스,(12%)
307,동신툴피아,(23%)
308,에어서울,(61%)
309,테크데이타,(130%)
310,제아에이치앤비,(486%)
311,롯데로지스틱스,정보없음.
312,한국허벌라이프,(17%)
313,헬스밸런스,(9999%)
314,농협물류,(24%)
315,사운드캣,(30%)
316,에스엠면세점,(7100%)
317,크록스코리아,(16%)
318,대원씨티에스,(22%)
319,돌코리아,(39%)
320,애로우일렉트로닉스,(11%)
321,크리스챤디올꾸뛰르코리아,(26%)
322,한국트럼프지엠비에이취,(9%)
323,윈시스템즈,(44%)
324,페르노리카코리아,(26%)
325,한국에이브이엘,(24%)
326,호전실업,(29%)
327,진인프라,(34%)
328,제일모직,(9999%)
329,지에스글로벌,(10%)
330,고려해운항공,(28%)
331,인터파크큐브릿지,(35%)
332,트리,(33%)
333,제이티인터내셔널코리아,(9%)
334,쿠팡로지스틱스서비스,(57%)
335,한국미쓰비시전기오토메이션,(6%)
336,한국후지필름,(30%)
337,기흥모터스,(27%)
338,삼천리자전거,(20%)
339,신코,(12%)
340,에스케이엔카,(9999%)
341,한국로지스풀,(27%)
342,비엠케이리미티드,(81%)
343,화승,(54%)
344,리노스,(67%)
345,에스엠케이티앤아이,(40%)
346,비브라운코리아,(18%)
347,에스케이가스,(14%)
348,에이치디솔루션즈,(67%)
349,마스타자동차관리,(21%)
350,유센로지스틱스코리아,(13%)
351,캐논코리아컨슈머이미징,(19%)
352,한국아스텔라스제약,(13%)
353,한국존슨앤드존슨판매,(32%)
354,디에이치엘서플라이체인코리아,(25%)
355,보쉬렉스로스코리아,(11%)
356,서흥인터내셔날,(31%)
357,에이아이에프,(51%)
358,루미가넷,(67%)
359,박스터,(17%)
360,세방익스프레스,(19%)
361,세이브존,(32%)
362,티엔티익스프레스,(125%)
363,한국엔드레스하우저,(11%)
364,혼다코리아,(28%)
365,케이씨티시,(14%)
366,프리미엄패스인터내셔널,(80%)
367,고려해운,(11%)
368,한국스트라이커,(20%)
369,한국야스카와전기,(12%)
370,에이수스코리아,(24%)
371,지앤푸드,(6%)
372,더클래스효성,(18%)
373,피플앤코,(64%)
374,야마하뮤직코리아,(11%)
375,태영상선,(51%)
376,금양인터내셔날,(26%)
377,넥스트플레이어,(86%)
378,우신라보타치,(35%)
379,S.F.Express,(143%)
380,공항철도,(7%)
381,복정제형,(35%)
382,오토플러스,(21%)
383,카파코리아,(771%)
384,하니웰애널리틱스,(118%)
385,아식스코리아,(74%)
386,제때,(16%)
387,솔리드이엔지,(35%)
388,애터미,(6%)
389,엔투비,(33%)
390,제이더블유중외메디칼,(33%)
391,한국아즈빌,(16%)
392,올리브인터내셔널,(52%)
393,펫프렌즈,(60%)
394,한솔피엔에스,(14%)
395,리테일앤인사이트,(64%)
396,이상네트웍스,(29%)
397,디에이치케이솔루션,(11%)
398,아리따움 ,(9999%)
399,온라인팜,(10%)
400,준코 노래타운,(9999%)
401,클라랑스코리아,(65%)
402,페어콘라인,(27%)
