,company_name,turn_over_rate
223,한국남동발전,(9%)
224,에프앤에프,(154%)
225,한화시스템,(8%)
226,고영테크놀러지,(18%)
227,우진플라임,(20%)
228,코맥스,(67%)
229,클리오,(14%)
230,한국미우라공업,(15%)
231,도레이첨단소재,(17%)
232,아이씨디,(21%)
233,제우스,(22%)
234,에스에프에이,(14%)
235,풍산,(8%)
236,동국홀딩스,(167%)
237,원익큐엔씨,(14%)
238,엠이엠씨코리아,(10%)
239,삼성메디슨,(8%)
240,한국중부발전,(14%)
241,동보,(100%)
242,일진전기,(294%)
243,태광실업,(11%)
244,패션그룹형지,(106%)
245,에스에프에이반도체,(25%)
246,에스케이엔펄스,(7%)
247,케이지모빌리티 ,(2%)
248,대현에스티,(32%)
249,매그나칩반도체,(18%)
250,한국동서발전,(14%)
251,이화다이아몬드공업,(12%)
252,한국지역난방공사,(5%)
253,좋은사람들,(33%)
254,명화공업,(9%)
255,현대종합금속,(16%)
256,신영와코루,(20%)
257,효성티앤에스,(22%)
258,한국엔에스케이,(8%)
259,쁘띠엘린,(44%)
260,에스엘바이오텍,(28%)
261,노브랜드,(32%)
262,인터로조,(27%)
263,에이스테크놀로지,(64%)
264,톱텍,(22%)
265,에이치디현대오일뱅크,(6%)
266,한국알박,(11%)
267,파킹클라우드,(36%)
268,엘아이에스,(60%)
269,네슬레코리아 네스프레소,(9999%)
270,한국서부발전,(13%)
271,성동조선해양,(138%)
272,이브자리,(82%)
273,태양금속공업,(15%)
274,팬코,(100%)
275,솔라엣지테크놀로지스코리아,(65%)
276,한솔아이원스,(30%)
277,동아오츠카,(7%)
278,아미코스메틱,(70%)
279,동양이엔피,(19%)
280,농업회사법인포프리,(62%)
281,코미코,(68%)
282,위비스,(45%)
283,신흥정밀,(22%)
284,원텍,(100%)
285,피죤,(22%)
286,모다이노칩,(63%)
287,비테스코테크놀로지스코리아유한책임회사,(16%)
288,깨끗한나라,(16%)
289,인동에프엔,(33%)
290,쏘테크,(24%)
291,부전전자,(16%)
292,덴소코리아,(7%)
293,연우,(29%)
294,대한솔루션,(24%)
295,에스아이플렉스,(10%)
296,계양전기,(15%)
297,선진,(23%)
298,케이맥,(115%)
299,니프코코리아,(6%)
300,엠에스씨,(100%)
301,나래나노텍,(25%)
302,노루페인트,(13%)
303,한화솔루션,(16%)
304,디에스단석,(1%)
305,아이아이컴바인드,(60%)
306,한국알프스,(9%)
307,아스트,(100%)
308,엘엠에스,(100%)
309,에이피시스템,(67%)
310,켐트로닉스,(22%)
311,태광후지킨,(31%)
312,대한전선,(18%)
313,에이치엘클레무브,(18%)
314,일동후디스,(28%)
315,참엔지니어링,(29%)
316,동희산업,(9%)
317,솔리티,(17%)
318,유도,(17%)
319,오텍캐리어,(16%)
320,미래컴퍼니,(41%)
321,롯데네슬레코리아,(28%)
322,대한산업안전협회,(26%)
323,진합,(27%)
324,모트렉스,(21%)
325,아이디스,(12%)
326,엘엑스세미콘,(15%)
327,유니크,(16%)
328,코리아나화장품,(26%)
329,져스텍,(48%)
330,에스에너지,(88%)
331,노벨리스코리아,(4%)
332,시몬스,(40%)
333,포스코퓨처엠,(4%)
334,해성디에스,(20%)
335,아우딘퓨쳐스,(44%)
336,한솔테크닉스,(25%)
337,듀폰코리아,(76%)
338,피에스케이,(25%)
339,에이테크솔루션,(10%)
340,삼우코리아,(33%)
341,로보스타,(21%)
342,화신,(10%)
343,우진산전,(19%)
344,코텍,(7%)
345,캐논쎄미콘덕터엔지니어링코리아,(10%)
346,성주디앤디,(50%)
347,에넥스,(23%)
348,웅진에너지,(163%)
349,현대미포조선,(5%)
350,대동공업,(25%)
351,한국바스프,(10%)
352,지오다노,(71%)
353,카펙발레오,(35%)
354,시선인터내셔널,(33%)
355,씨티알,(129%)
356,비에이치아이,(19%)
357,쿠첸,(30%)
358,그레닉스,(160%)
359,아이에스시,(19%)
360,현대케피코,(5%)
361,한국미쓰비시엘리베이터,(10%)
362,라벨영,(150%)
363,휴니드테크놀러지스,(22%)
364,제이브이엠,(12%)
365,사조대림,(141%)
366,광전자,(17%)
367,린나이코리아,(9%)
368,하이즈항공,(37%)
369,팔도,(56%)
370,강림중공업,(32%)
371,스테코,(133%)
372,아이티엠반도체,(29%)
373,한국씰마스타,(26%)
374,아진산업,(133%)
375,청오디피케이,(148%)
376,실크로드시앤티,(23%)
377,참존,(48%)
378,평화발레오,(20%)
379,유한킴벌리,(7%)
380,대현,(9999%)
381,와이솔,(24%)
382,고려아연,(9%)
383,에스케이스페셜티,(11%)
384,한국야금,(10%)
385,선앤엘,(41%)
386,에스디생명공학,(110%)
387,에프에스티,(22%)
388,동화기업,(11%)
389,루멘스,(25%)
390,다스,(16%)
391,엘오티베큠,(32%)
392,동원시스템즈,(17%)
393,대유위니아,(49%)
394,인터엠,(13%)
395,강남제비스코,(3%)
396,롯데알미늄,(11%)
397,경인양행,(44%)
398,아바코,(16%)
399,보쉬전장,(9%)
400,일진디스플레이,(61%)
