,company_name,turn_over_rate
211,다날에프엔비,(160%)
212,더맨,(122%)
213,제이제이케터링,(59%)
214,한국공예디자인문화진흥원,(59%)
215,나뚜루 ,(19%)
216,아이센스에프앤씨,정보없음.
217,인트로맨,(95%)
218,아난티,(23%)
219,오알피연구소,(52%)
220,이씨엠디,(7%)
221,성균관대학교 산학협력단,(56%)
222,한국경영원,(126%)
223,원마운트,(122%)
224,게이트고메코리아,(26%)
225,동양이엠에스,(72%)
226,SDL Korea,(9999%)
227,웅진플레이도시,(167%)
228,테라로사커피,(9999%)
229,블루원,(31%)
230,플레이스엠,(45%)
231,서울신용평가정보,(54%)
232,에이에스티,(249%)
233,유끼커뮤니케이션,(14%)
234,투어이천,(136%)
235,휴먼코아,(100%)
236,아고다트레블오퍼레이션스코리아,(69%)
237,에이치엔씨네트워크,(68%)
238,현대엔지비,(33%)
239,에스팀,정보없음.
