,company_name,turn_over_rate
0,티몬,정보없음.
1,위메프,(9999%)
2,엘지유플러스,(8%)
3,삼성에스디에스,(6%)
4,엘지씨엔에스,(8%)
5,케이티,(9%)
6,네이버,(32%)
7,더존비즈온,(21%)
8,롯데정보통신,(14%)
9,효성아이티엑스,(93%)
10,카카오,(15%)
11,케이티씨에스,(65%)
12,엔씨소프트,(19%)
13,카페24,(19%)
14,야놀자,(33%)
15,씨제이올리브네트웍스,(15%)
16,에스케이플래닛,(14%)
17,지마켓,(9%)
18,SK텔레콤,(8%)
19,요기요,(38%)
20,안랩,(17%)
21,넥슨코리아,(12%)
22,사람인,(60%)
23,인라이플,(81%)
24,케이티아이에스,(44%)
25,한국아이비엠,(25%)
26,인피닉,(79%)
27,티맥스소프트,(18%)
28,케이티알파,(37%)
29,우아한형제들,(13%)
30,미라콤아이앤씨,(12%)
31,엔에이치엔,(67%)
32,현대오토에버,(7%)
33,케이티디에스,(14%)
34,코리아센터,(125%)
35,콘센트릭스서비스코리아,(110%)
36,이글루코퍼레이션,(26%)
37,신한디에스,(13%)
38,라인플러스,(47%)
39,한전케이디엔,(49%)
40,커리어넷,(68%)
41,다우기술,(16%)
42,마이다스아이티,(13%)
43,에스케이,(9%)
44,스펙업애드,(67%)
45,잡코리아 유한책임회사,(13%)
46,넷마블,(23%)
47,넥슨네트웍스,(21%)
48,팅크웨어,(39%)
49,엘에스산전,(9%)
50,브랜디,(78%)
51,나이스평가정보,(25%)
52,에스케이엠앤서비스,(66%)
53,티시스,(3083%)
54,커넥트웨이브,(25%)
55,여기어때,(20%)
56,휴넷,(131%)
57,컴투스,(20%)
58,링크프라이스,(83%)
59,지에스아이티엠,(36%)
60,와이즈스톤,(23%)
61,비즈테크아이,(21%)
62,엔테크서비스,(7%)
63,네오위즈,(96%)
64,메가존,(27%)
65,아이파트너즈,(26%)
66,디케이테크인,(19%)
67,롯데닷컴,(104%)
68,신세계아이앤씨,(12%)
69,현대이지웰,(21%)
70,아프리카티비,(12%)
71,제로웹,(45%)
72,윈스,(49%)
73,지오시스,(28%)
74,와이즈넛,(31%)
75,써머스플랫폼,(44%)
76,에스케이커뮤니케이션즈,(7%)
77,코나아이,(42%)
78,케이지이니시스,(24%)
79,미디어로그,(27%)
80,아이뱅크,(27%)
81,직방,(39%)
82,데이터스트림즈,(40%)
83,엠서클,(89%)
84,와이즈와이어즈,(26%)
85,이스트소프트,(26%)
86,예스이십사,(18%)
87,에스케이오앤에스,(4%)
88,씨엔티테크,(36%)
89,위메이드,(59%)
90,한국오라클,(13%)
91,한국지능정보사회진흥원,(22%)
92,이카운트,(32%)
93,나비스오토모티브시스템즈,(11%)
94,이씨이십일,(40%)
95,줌인터넷,(42%)
96,웹젠,(25%)
97,어니컴,(26%)
98,에스케이브로드밴드,(8%)
99,와이드넷엔지니어링,(31%)
