,cmp,0,1,2,3,4,5,6,7,8,9,10
0,(주)티몬,0.0,0.0,0.0,0.3796062171459198,0.0,0.5967397689819336,0.0,0.0,0.0,0.01552637666463852,0.0
1,(주)위메프,0.0,0.0,0.0,0.14765019714832306,0.0,0.16326813399791718,0.08578701317310333,0.5951946377754211,0.0,0.0,0.0
2,(주)엘지유플러스,0.6821083426475525,0.14789877831935883,0.0,0.0,0.0,0.1302957981824875,0.0,0.0,0.0,0.0,0.03374244645237923
3,삼성에스디에스(주),0.09439248591661453,0.5343164801597595,0.0,0.0,0.0,0.0857616662979126,0.0,0.0,0.2223815619945526,0.06270449608564377,0.0
4,(주)엘지씨엔에스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9767019152641296,0.0
5,(주)케이티,0.4692608416080475,0.012435250915586948,0.0,0.0,0.3911049962043762,0.0,0.0,0.0,0.0,0.12668471038341522,0.0
6,네이버(주),0.0,0.0,0.0,0.0,0.0,0.9416386485099792,0.0,0.0,0.0,0.05762018635869026,0.0
7,(주)더존비즈온,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6170186996459961,0.0,0.3722366392612457,0.0
8,롯데정보통신(주),0.10678895562887192,0.0468011349439621,0.0,0.0,0.2060146927833557,0.0,0.0,0.0,0.48601657152175903,0.15395405888557434,0.0
9,효성아이티엑스(주),0.05624350532889366,0.23406220972537994,0.0,0.0,0.0,0.0,0.7081366777420044,0.0,0.0,0.0,0.0
10,(주)카카오,0.02182004414498806,0.0,0.0,0.0,0.0,0.8144371509552002,0.0,0.06362058967351913,0.0,0.09328844398260117,0.0
11,(주)케이티씨에스,0.06414742767810822,0.44249051809310913,0.0,0.01753118261694908,0.06534983962774277,0.0,0.29102563858032227,0.0,0.0,0.011078855022788048,0.10802369564771652
12,(주)엔씨소프트,0.0,0.10489809513092041,0.0,0.0,0.0,0.12942709028720856,0.0,0.497146874666214,0.0,0.17309005558490753,0.09506002068519592
13,카페24(주),0.0,0.0,0.0,0.31452834606170654,0.0,0.6849633455276489,0.0,0.0,0.0,0.0,0.0
14,(주)야놀자,0.0,0.0,0.0,0.1555495262145996,0.0,0.6787289977073669,0.0,0.0,0.1651969701051712,0.0,0.0
15,씨제이올리브네트웍스(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1118665412068367,0.784081757068634,0.09885977953672409,0.0
16,에스케이플래닛(주),0.1627351939678192,0.0,0.0,0.0,0.0,0.20518535375595093,0.0,0.5360053181648254,0.0942285805940628,0.0,0.0
17,(주)지마켓,0.0,0.0,0.0,0.0,0.0,0.8710610270500183,0.0,0.0,0.12616537511348724,0.0,0.0
18,SK텔레콤(주),0.19871382415294647,0.028219640254974365,0.0,0.0,0.0,0.7722176313400269,0.0,0.0,0.0,0.0,0.0
19,요기요,0.0,0.0,0.0,0.24726752936840057,0.0,0.3671194314956665,0.0,0.019094549119472504,0.0,0.0,0.3527495861053467
20,(주)안랩,0.055174585431814194,0.0,0.0,0.0,0.04596005380153656,0.0,0.0,0.29203009605407715,0.0,0.5559552311897278,0.04495375230908394
21,(주)넥슨코리아,0.017532171681523323,0.0,0.0,0.0,0.04581279307603836,0.17650040984153748,0.0,0.6823891997337341,0.0,0.0471615344285965,0.0300276055932045
22,(주)사람인,0.0,0.0,0.0,0.042131904512643814,0.0,0.012860443443059921,0.0,0.944144606590271,0.0,0.0,0.0
23,(주)인라이플,0.0,0.0,0.0,0.9996868371963501,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,(주)케이티아이에스,0.13014362752437592,0.5223288536071777,0.0,0.0,0.0,0.0,0.1173909455537796,0.06042981147766113,0.0,0.16854819655418396,0.0
25,한국아이비엠(주),0.0,0.0,0.0,0.0,0.4797195494174957,0.25320369005203247,0.0,0.0,0.0,0.2643722891807556,0.0
26,(주)인피닉,0.0,0.3696805536746979,0.0,0.1764574646949768,0.0,0.0,0.31525230407714844,0.0,0.0,0.11691732704639435,0.02065695822238922
27,(주)티맥스소프트,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4351900815963745,0.0,0.5625392198562622,0.0
28,(주)케이티알파,0.42617934942245483,0.0,0.0,0.08791643381118774,0.0,0.0,0.26704835891723633,0.14961256086826324,0.0,0.06605911254882812,0.0
29,(주)우아한형제들,0.0,0.0,0.0,0.0,0.0,0.6628010272979736,0.0,0.0,0.0,0.0,0.3364832103252411
30,(주)미라콤아이앤씨,0.0,0.8366701602935791,0.0,0.0,0.0,0.0,0.0,0.0,0.16184182465076447,0.0,0.0
31,엔에이치엔(주),0.0,0.0,0.0,0.0,0.0,0.20313602685928345,0.0,0.78172367811203,0.0,0.014380712993443012,0.0
