,cmp,0,1,2,3,4,5,6,7
0,쿠팡(주),0.03577348217368126,0.0,0.0,0.0,0.28996434807777405,0.6570687294006348,0.0,0.0
1,씨제이올리브영(주),0.1869446188211441,0.808156430721283,0.0,0.0,0.0,0.0,0.0,0.0
2,에프알엘코리아(주),0.6040437817573547,0.377269983291626,0.01743900775909424,0.0,0.0,0.0,0.0,0.0
3,(주)이마트,0.0,0.9994032979011536,0.0,0.0,0.0,0.0,0.0,0.0
4,(주)한샘,0.09804654121398926,0.0,0.37135687470436096,0.0,0.5208427906036377,0.0,0.0,0.0
5,한국철도공사,0.0,0.0,0.9996982216835022,0.0,0.0,0.0,0.0,0.0
6,홈플러스(주),0.0,0.27154257893562317,0.5276415944099426,0.061175644397735596,0.011804431676864624,0.0,0.12176691740751266,0.0
7,(주)지에스리테일,0.0,0.07821399718523026,0.8537006974220276,0.06770815700292587,0.0,0.0,0.0,0.0
8,(주)비지에프리테일,0.0,0.0,0.9981108903884888,0.0,0.0,0.0,0.0,0.0
9,씨제이대한통운(주),0.0,0.9969509840011597,0.0,0.0,0.0,0.0,0.0,0.0
10,(주)현대백화점,0.0,0.8548718690872192,0.01097817998379469,0.1335948258638382,0.0,0.0,0.0,0.0
11,(주)코리아세븐,0.0,0.13608478009700775,0.8632150292396545,0.0,0.0,0.0,0.0,0.0
12,씨유 (매장),0.1305254101753235,0.0,0.0,0.0,0.0,0.0,0.0,0.8689957857131958
13,(주)교원,0.0,0.030332883819937706,0.03366794064640999,0.6188876628875732,0.0,0.26659679412841797,0.05022972822189331,0.0
14,(주)이랜드리테일,0.0,0.015303418040275574,0.6130707263946533,0.0,0.0,0.0,0.36989524960517883,0.0
15,(주)대한항공,0.0,0.3448010981082916,0.07310651987791061,0.5807133316993713,0.0,0.0,0.0,0.0
16,자라리테일코리아(주),0.9987567663192749,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,(주)인터파크트리플,0.0,0.0,0.013996556401252747,0.045895617455244064,0.08172594755887985,0.06237095594406128,0.7956159114837646,0.0
18,롯데쇼핑(주) 롯데마트사업본부,0.0,0.42119669914245605,0.547005295753479,0.03033856675028801,0.0,0.0,0.0,0.0
19,삼성에버랜드(주),0.0,0.9947817921638489,0.0,0.0,0.0,0.0,0.0,0.0
20,(주)아성다이소,0.0,0.027818996459245682,0.12132598459720612,0.8500417470932007,0.0,0.0,0.0,0.0
21,롯데하이마트(주),0.0,0.27626338601112366,0.6788538098335266,0.0,0.0,0.0,0.03364415839314461,0.0
22,하이프라자(주),0.054965220391750336,0.5691332221031189,0.3747611939907074,0.0,0.0,0.0,0.0,0.0
23,(주)에어코리아,0.435191810131073,0.0,0.0,0.5609761476516724,0.0,0.0,0.0,0.0
24,(주)이디야,0.0,0.0,0.0,0.11453632265329361,0.7368552088737488,0.0,0.14700312912464142,0.0
25,(주)서브원,0.0,0.23982900381088257,0.3568377196788788,0.31162476539611816,0.0,0.08181469142436981,0.0,0.0
26,씨제이프레시웨이(주),0.0,0.9985837340354919,0.0,0.0,0.0,0.0,0.0,0.0
27,삼성전자판매(주),0.03316725790500641,0.6357537508010864,0.3300577402114868,0.0,0.0,0.0,0.0,0.0
28,(주)현대그린푸드,0.0,0.7296967506408691,0.020176006481051445,0.24949681758880615,0.0,0.0,0.0,0.0
29,데상트코리아(주),0.011047989130020142,0.0,0.4007980227470398,0.29231464862823486,0.055954933166503906,0.04389628395438194,0.19555328786373138,0.0
30,에이치앤엠헤네스앤모리츠(주),0.9167941212654114,0.08163075894117355,0.0,0.0,0.0,0.0,0.0,0.0
31,엘오케이(유),0.5950837135314941,0.0,0.0,0.0,0.0,0.3032826781272888,0.10059191286563873,0.0
32,(주)이마트에브리데이,0.0,0.9980393052101135,0.0,0.0,0.0,0.0,0.0,0.0
33,아시아나항공(주),0.0,0.0879497304558754,0.0930250883102417,0.8170182704925537,0.0,0.0,0.0,0.0
34,부루벨코리아(주),0.8551208972930908,0.0,0.0,0.0,0.0,0.0,0.14367881417274475,0.0
35,한국미니스톱(주),0.0,0.0,0.9966283440589905,0.0,0.0,0.0,0.0,0.0
36,(주)엘엑스판토스,0.0,0.39764559268951416,0.1609814316034317,0.27493906021118164,0.0,0.16584806144237518,0.0,0.0
37,(주)케이티엠앤에스,0.0,0.8854502439498901,0.11263304203748703,0.0,0.0,0.0,0.0,0.0
38,(주)신세계인터내셔날,0.0,0.6982740759849548,0.0,0.0,0.0,0.0,0.30048611760139465,0.0
39,(주)교보문고,0.30950212478637695,0.5151515007019043,0.07538951933383942,0.0,0.0,0.0,0.09097641706466675,0.0
40,(주)컬리,0.07708039879798889,0.0,0.2046269029378891,0.0136871337890625,0.6719773411750793,0.0,0.02718634530901909,0.0
41,이케아코리아(유),0.29182326793670654,0.0,0.5212904214859009,0.0,0.1608879715204239,0.0,0.02367999590933323,0.0
42,(사)굿네이버스인터내셔날,0.0,0.0,0.16768555343151093,0.0876011922955513,0.7379804253578186,0.0,0.0,0.0
43,(주)코스트코코리아,0.15280646085739136,0.5991519689559937,0.24714967608451843,0.0,0.0,0.0,0.0,0.0
44,(주)우리홈쇼핑,0.0,0.38212138414382935,0.0,0.0,0.448733389377594,0.0,0.16308803856372833,0.0
45,(주)제너시스비비큐,0.0,0.02176010049879551,0.3030111491680145,0.0,0.2914413511753082,0.0,0.3731363117694855,0.0
46,이엘씨에이한국(유),0.5024136304855347,0.0,0.0,0.0,0.0,0.0,0.4960438013076782,0.0
