,cmp,0,1,2,3,4,5,6,7,8
0,삼성전자(주),0.0,0.046584539115428925,0.0,0.0,0.0,0.21565508842468262,0.0,0.6734269857406616,0.05921417847275734
1,LG전자(주),0.015896404162049294,0.01827424205839634,0.0,0.0,0.025854382663965225,0.08193077147006989,0.0,0.8399568796157837,0.0
2,엘지디스플레이(주),0.0,0.0,0.0,0.0,0.0,0.26467493176460266,0.0,0.719815194606781,0.010210932232439518
3,현대자동차(주),0.0,0.0,0.0,0.0,0.0,0.10041465610265732,0.21251130104064941,0.6764108538627625,0.0
4,엘지이노텍(주),0.0,0.0,0.0,0.0,0.0,0.8978842496871948,0.02082778513431549,0.07150182873010635,0.0
5,CJ제일제당(주),0.0,0.012496868148446083,0.0,0.0,0.6952009201049805,0.016201600432395935,0.0,0.2756486237049103,0.0
6,한국전력공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994443655014038,0.0
7,(주)LG화학,0.0,0.12231417745351791,0.0,0.0,0.013582823798060417,0.03354376181960106,0.0,0.8172370195388794,0.0
8,에스케이하이닉스(주),0.0,0.18636195361614227,0.0,0.0,0.0,0.5018401145935059,0.0,0.31079399585723877,0.0
9,에이치디현대중공업(주),0.0,0.0,0.0,0.01842397078871727,0.0,0.0,0.0,0.9808090329170227,0.0
10,삼성중공업(주),0.0,0.9991739988327026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,(주)아모레퍼시픽,0.4466671347618103,0.4787023067474365,0.0,0.0,0.0,0.0,0.0,0.071759894490242,0.0
12,앰코테크놀로지코리아(주),0.06233414635062218,0.0,0.0,0.09619121253490448,0.0,0.7192812561988831,0.01045882049947977,0.027719633653759956,0.08287274837493896
13,삼성에스디아이(주),0.0,0.0,0.0,0.0,0.0,0.9038780927658081,0.0,0.0835699513554573,0.0
14,포스코홀딩스(주),0.0,0.0,0.02780013158917427,0.0,0.0,0.07568203657865524,0.2265499383211136,0.6695712804794312,0.0
15,배스킨라빈스 (매장),0.5347225069999695,0.0,0.37778183817863464,0.0,0.0,0.0442703440785408,0.0,0.042504940181970596,0.0
16,(주)케이씨씨,0.0,0.0,0.1514400839805603,0.09914197772741318,0.05228128656744957,0.03203831613063812,0.0,0.585834801197052,0.07852590084075928
17,(주)이랜드월드,0.0,0.0,0.6754741072654724,0.0,0.3117779791355133,0.0,0.0,0.0,0.0
18,한화오션(주),0.0,0.016836008056998253,0.0,0.18221864104270935,0.0,0.0,0.0,0.8000603318214417,0.0
19,삼성전기(주),0.0,0.03608348220586777,0.0,0.0,0.0,0.883159339427948,0.0,0.08023341000080109,0.0
20,현대모비스(주),0.0,0.0936165302991867,0.0,0.0,0.0,0.0,0.0,0.8932143449783325,0.0
21,현대제철(주),0.0,0.0,0.0,0.0,0.12280625104904175,0.15983469784259796,0.01061879750341177,0.7062863111495972,0.0
22,두산에너빌리티(주),0.0,0.15926171839237213,0.0,0.048102788627147675,0.05455046147108078,0.026074446737766266,0.0,0.6864143013954163,0.02083984762430191
23,(주)엘지생활건강,0.010941609740257263,0.13788670301437378,0.03953159227967262,0.0,0.40737253427505493,0.0,0.0,0.4037460684776306,0.0
24,기아(주),0.0,0.010606287978589535,0.0,0.011667382903397083,0.0,0.14683175086975098,0.17035357654094696,0.6535210013389587,0.0
25,한국수력원자력(주),0.0,0.0,0.0,0.0,0.0,0.0,0.21804869174957275,0.7777426838874817,0.0
26,(유)스태츠칩팩코리아,0.0,0.0,0.0,0.0,0.0,0.8792617917060852,0.0,0.0,0.12014712393283844
27,(주)바디프랜드,0.9990488886833191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,(주)와이지-원,0.723084568977356,0.0,0.0,0.25300782918930054,0.0,0.020622918382287025,0.0,0.0,0.0
29,(주)유라코퍼레이션,0.0,0.02389444224536419,0.0,0.7011064291000366,0.24723301827907562,0.0,0.0,0.01937408745288849,0.0
30,삼성디스플레이(주),0.0,0.14610901474952698,0.0,0.0,0.0,0.3192208707332611,0.0,0.5201891660690308,0.013759711757302284
31,(주)동원에프앤비,0.0,0.0,0.03320197016000748,0.0,0.9639007449150085,0.0,0.0,0.0,0.0
32,(주)LF,0.0,0.0,0.5062547326087952,0.0,0.4851985275745392,0.0,0.0,0.0,0.0
33,(주)코리아써키트,0.0,0.0,0.0,0.05506937578320503,0.0,0.5454989075660706,0.0,0.0,0.39890336990356445
34,삼성엔지니어링(주),0.0,0.7104806303977966,0.0,0.0,0.0,0.1153327003121376,0.0,0.17262397706508636,0.0
35,한국콜마(주),0.18869659304618835,0.0,0.40028080344200134,0.230743408203125,0.015754321590065956,0.0,0.0,0.1583690047264099,0.0
36,세아상역(주),0.10205107182264328,0.0,0.8525862693786621,0.0,0.02995908074080944,0.0,0.0,0.014506676234304905,0.0
37,해태제과식품(주),0.0,0.0,0.0,0.09382452070713043,0.7981246709823608,0.10256394743919373,0.0,0.0,0.0
38,오뚜기(주),0.0,0.0,0.026997895911335945,0.0,0.6741749048233032,0.20791994035243988,0.0,0.08062098920345306,0.0
39,캐논코리아(주),0.07503487914800644,0.5770987868309021,0.0,0.0,0.07370608299970627,0.05306515842676163,0.0,0.22050981223583221,0.0
40,한솔섬유(주),0.2929638922214508,0.0,0.6942201256752014,0.0,0.010849283076822758,0.0,0.0,0.0,0.0
41,에이치디현대인프라코어(주),0.07674964517354965,0.0,0.0,0.0,0.0,0.0,0.0,0.9214969873428345,0.0
42,에스엘(주),0.0,0.0,0.481395959854126,0.3303837478160858,0.0,0.027666687965393066,0.0,0.1598433405160904,0.0
