,cmp,0,1,2,3,4,5,6,7,8
48,(주)동해종합기술공사,0.0,0.9965659976005554,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,씨비알이코리아(주),0.0,0.0,0.0,0.0,0.0,0.9921980500221252,0.0,0.0,0.0
50,교보리얼코(주),0.0,0.0,0.0,0.9940705895423889,0.0,0.0,0.0,0.0,0.0
51,두산건설(주),0.0,0.0,0.0,0.0,0.0,0.0,0.22403119504451752,0.0,0.7695894241333008
52,쌍용건설(주),0.0,0.6932805180549622,0.0,0.0,0.0,0.0,0.30068615078926086,0.0,0.0
53,삼호개발(주),0.0,0.0,0.21464546024799347,0.0,0.0,0.0,0.0,0.0,0.7812799215316772
54,벽산엔지니어링(주),0.0,0.0,0.0,0.0,0.0,0.0,0.9430717825889587,0.0,0.052506133913993835
55,동부건설(주),0.0,0.0,0.3267267644405365,0.0,0.272458553314209,0.0,0.21470917761325836,0.0,0.181987464427948
56,(주)한양,0.0,0.0,0.0,0.0,0.0,0.0,0.3944954574108124,0.0,0.601513147354126
57,브니엘네이처(주),0.0,0.0,0.0,0.0,0.9881404638290405,0.0,0.0,0.0,0.0
58,강산건설(주),0.0,0.0,0.0,0.0,0.3091946542263031,0.0,0.014745915308594704,0.21915417909622192,0.44610148668289185
59,(주)선진엔지니어링종합건축사사무소,0.0,0.0,0.0,0.9941868782043457,0.0,0.0,0.0,0.0,0.0
60,(주)수성엔지니어링,0.0,0.0,0.10923588275909424,0.0,0.3596532940864563,0.0,0.052042827010154724,0.0,0.4765295684337616
61,현대산업개발(주),0.0,0.0,0.9874711632728577,0.0,0.0,0.0,0.0,0.0,0.0
62,(주)우리피앤에스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9629401564598083
63,자이에스앤디(주),0.0,0.0,0.1747373342514038,0.0,0.0,0.0,0.0,0.0,0.8212507963180542
64,동일기술공사(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9910151958465576
65,존스랑라살(주),0.0,0.0,0.0,0.0,0.0,0.0,0.5442942380905151,0.0,0.4516730308532715
66,케이지엔지니어링종합건축사사무소(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9950587749481201
67,(주)휴머스원,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9920583963394165,0.0
68,지에스네오텍(주),0.0,0.0,0.8216658234596252,0.0,0.0,0.0,0.17092135548591614,0.0,0.0
