,cmp,0,1,2,3,4,5
0,쿠팡(주),0.0,0.0,0.0,0.0,0.0,0.990206778049469
1,씨제이올리브영(주),0.9197494387626648,0.029919099062681198,0.0,0.0,0.0,0.04998236894607544
2,에프알엘코리아(주),0.924111545085907,0.0,0.06463021785020828,0.0,0.0,0.010342413559556007
3,(주)이마트,0.9151465892791748,0.0,0.0,0.05280604213476181,0.0,0.03171127289533615
4,(주)한샘,0.5617959499359131,0.0396069772541523,0.3235836625099182,0.05786978825926781,0.0,0.012357617728412151
5,한국철도공사,0.9996238946914673,0.0,0.0,0.0,0.0,0.0
6,홈플러스(주),0.6054458618164062,0.03197513520717621,0.08240825682878494,0.05384809151291847,0.0,0.22598329186439514
7,(주)지에스리테일,0.11654804646968842,0.1828189343214035,0.0,0.5118656754493713,0.0,0.18174193799495697
8,(주)비지에프리테일,0.6447588205337524,0.22844591736793518,0.0,0.06925072520971298,0.0,0.05606206879019737
9,씨제이대한통운(주),0.3124101161956787,0.6338938474655151,0.0,0.0,0.0,0.04475252330303192
10,(주)현대백화점,0.46853145956993103,0.21911412477493286,0.04357639327645302,0.04234417900443077,0.0,0.22629797458648682
11,(주)코리아세븐,0.5299612283706665,0.053732991218566895,0.199698805809021,0.0632149875164032,0.0,0.15326042473316193
12,씨유 (매장),0.999452531337738,0.0,0.0,0.0,0.0,0.0
13,(주)교원,0.0,0.19182175397872925,0.0579029880464077,0.40841180086135864,0.0,0.34167051315307617
14,(주)이랜드리테일,0.0,0.05375201255083084,0.20901581645011902,0.3678549528121948,0.0,0.3687414824962616
15,(주)대한항공,0.3429727852344513,0.0,0.0,0.6556903123855591,0.0,0.0
16,자라리테일코리아(주),0.9418597221374512,0.0,0.0,0.0,0.0,0.0573321096599102
17,(주)인터파크트리플,0.0,0.048534974455833435,0.0,0.2014370560646057,0.09824981540441513,0.6514672040939331
18,롯데쇼핑(주) 롯데마트사업본부,0.037083033472299576,0.5613700151443481,0.0,0.3894122242927551,0.0,0.011401018127799034
19,삼성에버랜드(주),0.9954282641410828,0.0,0.0,0.0,0.0,0.0
20,(주)아성다이소,0.2458387017250061,0.03104563243687153,0.029735930263996124,0.6319693922996521,0.057065535336732864,0.0
21,롯데하이마트(주),0.0663282573223114,0.8057465553283691,0.0,0.04637879505753517,0.0,0.06986197084188461
22,하이프라자(주),0.9899792075157166,0.0,0.0,0.0,0.0,0.0
23,(주)에어코리아,0.5228097438812256,0.0,0.47581905126571655,0.0,0.0,0.0
24,(주)이디야,0.05128587409853935,0.49834319949150085,0.0,0.2771608829498291,0.05382029712200165,0.11893562972545624
25,(주)서브원,0.0,0.6148086190223694,0.0,0.2087591141462326,0.1406458169221878,0.026611683890223503
26,씨제이프레시웨이(주),0.18275466561317444,0.1628832221031189,0.12478896975517273,0.0,0.0,0.5291488170623779
27,삼성전자판매(주),0.9964812994003296,0.0,0.0,0.0,0.0,0.0
28,(주)현대그린푸드,0.32674890756607056,0.1694680005311966,0.2122320681810379,0.22781071066856384,0.0,0.06343752145767212
29,데상트코리아(주),0.0,0.7880198359489441,0.013583362102508545,0.0,0.060870442539453506,0.13699974119663239
30,에이치앤엠헤네스앤모리츠(주),0.3907645046710968,0.5781058669090271,0.0,0.0,0.0,0.030353792011737823
31,엘오케이(유),0.0,0.9872648119926453,0.0,0.0,0.0,0.011583710089325905
32,(주)이마트에브리데이,0.7860850095748901,0.12873995304107666,0.015202208422124386,0.035918112844228745,0.0,0.03379905968904495
33,아시아나항공(주),0.0,0.0,0.0,0.9974262714385986,0.0,0.0
34,부루벨코리아(주),0.21931825578212738,0.6211193799972534,0.09007909148931503,0.06861840188503265,0.0,0.0
35,한국미니스톱(주),0.2190467119216919,0.0,0.0,0.688867449760437,0.08969613164663315,0.0
36,(주)엘엑스판토스,0.0,0.7399874329566956,0.0,0.258712500333786,0.0,0.0
37,(주)케이티엠앤에스,0.5568343997001648,0.0,0.44065889716148376,0.0,0.0,0.0
38,(주)신세계인터내셔날,0.02150050550699234,0.11445028334856033,0.054194375872612,0.1418723315000534,0.0357525460422039,0.6322299838066101
39,(주)교보문고,0.4714997708797455,0.0,0.034955523908138275,0.07803789526224136,0.0,0.4099213182926178
40,(주)컬리,0.025330953299999237,0.0,0.0,0.0,0.0,0.9521141052246094
41,이케아코리아(유),0.4166167974472046,0.0777091383934021,0.0,0.0,0.0,0.49732252955436707
42,(사)굿네이버스인터내셔날,0.0,0.9470694661140442,0.03184574097394943,0.0,0.0,0.0
43,(주)코스트코코리아,0.7328401207923889,0.04815918207168579,0.10617019236087799,0.018097495660185814,0.0,0.0927412211894989
44,(주)우리홈쇼핑,0.0,0.9405262470245361,0.0,0.0,0.0,0.058489006012678146
45,(주)제너시스비비큐,0.0,0.0,0.9409461617469788,0.05252935364842415,0.0,0.0
46,이엘씨에이한국(유),0.5216615200042725,0.14590738713741302,0.0,0.0,0.10939741879701614,0.22159750759601593
47,(주)현대홈쇼핑,0.0,0.21176588535308838,0.0,0.7373397350311279,0.0,0.05019743740558624
48,(주)한진,0.09581435471773148,0.5184321999549866,0.0,0.37694862484931946,0.0,0.0
49,현대글로비스(주),0.0,0.6373090744018555,0.0,0.2404223382472992,0.02519124373793602,0.09668467938899994
50,(주)씨제이이엔엠 오쇼핑부문,0.0,0.46865004301071167,0.0,0.1877509206533432,0.11450900137424469,0.22842732071876526
51,스위스포트코리아(주),0.7184252738952637,0.0,0.2788527309894562,0.0,0.0,0.0
52,(주)신세계,0.1771293729543686,0.82057785987854,0.0,0.0,0.0,0.0
