,cmp,0,1,2,3,4,5,6,7,8,9
43,제이티비씨(주),0.052648093551397324,0.0,0.0,0.0,0.22678446769714355,0.0,0.0,0.5982576012611389,0.12014275044202805,0.0
44,중앙일보(주),0.0,0.0,0.0,0.0,0.0,0.0,0.9965372085571289,0.0,0.0,0.0
45,(주)아이스크림에듀,0.0,0.0,0.0,0.0,0.191238135099411,0.0,0.0,0.8075369000434875,0.0,0.0
46,(주)매일경제신문사,0.02557492069900036,0.0,0.0,0.0,0.0,0.0,0.018139591440558434,0.21858815848827362,0.7358728647232056,0.0
47,조선일보사(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9950801730155945
48,(주)에이피알에이전시,0.0,0.0,0.0,0.837555468082428,0.04373848810791969,0.0,0.0,0.11646877229213715,0.0,0.0
49,킨코스코리아(주),0.0,0.0,0.0,0.02620050683617592,0.3722616732120514,0.0,0.0,0.2914809584617615,0.3088822066783905,0.0
50,(재)서울문화재단,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9969478845596313,0.0,0.0
51,부산국제영화제,0.0,0.0,0.0,0.0,0.0,0.0,0.9971951246261597,0.0,0.0,0.0
52,(주)인터스텔라,0.0,0.9986681342124939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,그룹엠코리아(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9985383152961731,0.0,0.0
54,예지솔루션(주),0.0,0.0,0.0,0.0,0.9986379146575928,0.0,0.0,0.0,0.0,0.0
55,레오버넷(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9943671226501465,0.0,0.0
56,(주)디트라이브,0.0,0.0,0.0,0.534000039100647,0.0,0.0,0.0,0.4366646409034729,0.02819853648543358,0.0
57,(주)트리플하이엠,0.0,0.0,0.0,0.0,0.214840367436409,0.0,0.0,0.4414985477924347,0.3363226652145386,0.0
58,(주)메조미디어,0.0,0.0,0.0,0.0,0.0,0.0,0.9524857997894287,0.04559960216283798,0.0,0.0
59,잉글리시에그(주),0.0,0.0,0.0,0.0,0.24996204674243927,0.0,0.0,0.7421274185180664,0.0,0.0
60,(주)미래엔,0.0,0.0,0.0,0.0,0.0,0.0,0.2516862154006958,0.745873749256134,0.0,0.0
61,이브릿지(주),0.0,0.0,0.0,0.3466832935810089,0.0,0.0,0.0,0.6479088664054871,0.0,0.0
62,(주)안그라픽스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43955284357070923,0.5531044006347656,0.0
63,케이비에스미디어(주),0.5719257593154907,0.0,0.0,0.0,0.0,0.0,0.0,0.42352667450904846,0.0,0.0
64,(주)아이유노글로벌,0.0,0.0,0.0,0.0,0.0,0.0,0.2557661831378937,0.7386357188224792,0.0,0.0
65,(주)채널에이,0.1812136471271515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8100870251655579,0.0
66,(주)금성출판사,0.0,0.0,0.0,0.7293758988380432,0.0,0.0,0.0,0.1491323560476303,0.11884903162717819,0.0
67,(주)모비데이즈,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991932213306427,0.0,0.0
68,(주)코마스인터렉티브,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9940764307975769,0.0,0.0
69,(주)위블링,0.0,0.0,0.0,0.03536368906497955,0.0,0.0,0.0,0.9630194902420044,0.0,0.0
70,(주)와이티엔,0.20550541579723358,0.0,0.0,0.0,0.0,0.0,0.15827196836471558,0.18997012078762054,0.4427826404571533,0.0
71,(주)마더브레인,0.0,0.0,0.0,0.0,0.3563196659088135,0.0,0.0,0.6418817639350891,0.0,0.0
72,세종씨앤피(주),0.0,0.0,0.0,0.0,0.9956920146942139,0.0,0.0,0.0,0.0,0.0
73,(주)메이크어스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9873185753822327,0.0,0.0
74,디자인피버(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9912993907928467,0.0,0.0
75,(주)클콩,0.0,0.0,0.0,0.4227854013442993,0.0,0.0,0.0,0.5070489048957825,0.06756225973367691,0.0
76,(주)로커스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8844214677810669,0.0,0.1109522357583046
77,한국학술정보(주),0.0,0.0,0.0,0.2596419155597687,0.0317440964281559,0.0,0.0,0.0,0.7066382169723511,0.0
78,(주)덱스터스튜디오,0.0,0.0,0.0,0.0,0.0,0.0,0.9904717803001404,0.0,0.0,0.0
79,(주)하이브,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9985834956169128,0.0,0.0
80,(주)지엔앰퍼포먼스,0.0,0.0,0.0,0.9977205395698547,0.0,0.0,0.0,0.0,0.0,0.0
81,레드브릭스,0.0,0.0,0.0,0.03130955994129181,0.02718128077685833,0.0,0.0,0.8852491974830627,0.05534067377448082,0.0
82,에델만퍼블릭릴레이션스월드와이드코리아(주),0.0,0.0,0.0,0.0,0.0,0.0,0.9785651564598083,0.0,0.0,0.0
83,체험(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9980170726776123,0.0
84,비비디오코리아(주),0.0,0.0,0.0,0.9502748250961304,0.0,0.0,0.0,0.04138871654868126,0.0,0.0
85,(주)레뷰코퍼레이션,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4365130066871643,0.560836911201477,0.0
86,(주)디지털트리니티,0.0,0.0,0.0,0.4247931241989136,0.0,0.0,0.0,0.5726417303085327,0.0,0.0
87,아이코닉스(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05908709019422531,0.938509464263916,0.0
88,(주)레인보우커뮤니케이션,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9883073568344116,0.0,0.0
89,(재)국제방송교류재단,0.28061845898628235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7147283554077148,0.0
90,(주)현대퓨처넷,0.1812819242477417,0.0,0.0,0.0,0.0,0.0,0.0,0.8049188852310181,0.0,0.0
91,(주)디자인하우스,0.9883071780204773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,더북컴퍼니(주),0.0,0.0,0.0,0.0,0.9923045039176941,0.0,0.0,0.0,0.0,0.0
