,cmp,0,1,2,3,4,5,6
0,삼성전자(주),0.6163510084152222,0.0,0.0,0.3121180832386017,0.03492743894457817,0.02574695087969303,0.0
1,LG전자(주),0.8850765824317932,0.0,0.0,0.0712953582406044,0.024072831496596336,0.0,0.0
2,엘지디스플레이(주),0.6858154535293579,0.03362532705068588,0.0,0.22839435935020447,0.03751872479915619,0.010926094837486744,0.0
3,현대자동차(주),0.3073759078979492,0.02564934454858303,0.0,0.6506936550140381,0.0,0.0,0.0
4,엘지이노텍(주),0.0,0.0,0.0,0.9990838170051575,0.0,0.0,0.0
5,CJ제일제당(주),0.4830464720726013,0.2060432881116867,0.010619737207889557,0.19338048994541168,0.0,0.08427903801202774,0.01913418062031269
6,한국전력공사,0.40211766958236694,0.0,0.0,0.05763326957821846,0.530924916267395,0.0,0.0
7,(주)LG화학,0.9121422171592712,0.0,0.0,0.07261922955513,0.0,0.0,0.0
8,에스케이하이닉스(주),0.09291640669107437,0.0,0.0,0.779818594455719,0.12323684990406036,0.0,0.0
9,에이치디현대중공업(주),0.6559004187583923,0.25280383229255676,0.0,0.08168372511863708,0.0,0.0,0.0
10,삼성중공업(주),0.99556964635849,0.0,0.0,0.0,0.0,0.0,0.0
11,(주)아모레퍼시픽,0.6323627233505249,0.0,0.0,0.024052010849118233,0.018407778814435005,0.0,0.32495781779289246
12,앰코테크놀로지코리아(주),0.0,0.11548734456300735,0.13457995653152466,0.6939248442649841,0.013959432020783424,0.02849883772432804,0.0
13,삼성에스디아이(주),0.06238390505313873,0.01296497043222189,0.0,0.9157211780548096,0.0,0.0,0.0
14,포스코홀딩스(주),0.4619174301624298,0.4310245215892792,0.0,0.07233843207359314,0.012923231348395348,0.01801590994000435,0.0
15,배스킨라빈스 (매장),0.0,0.6995971202850342,0.0,0.01579449512064457,0.0,0.27491965889930725,0.0
16,(주)케이씨씨,0.6144212484359741,0.20363958179950714,0.0,0.058825764805078506,0.0,0.10733248293399811,0.0
17,(주)이랜드월드,0.16369137167930603,0.03948712721467018,0.026083188131451607,0.0,0.037357453256845474,0.048941127955913544,0.6843294501304626
18,한화오션(주),0.9473300576210022,0.03138984367251396,0.0,0.010405226610600948,0.010390188544988632,0.0,0.0
19,삼성전기(주),0.07167936116456985,0.0,0.0,0.8988376259803772,0.02339315228164196,0.0,0.0
20,현대모비스(주),0.6808730959892273,0.010766531340777874,0.0,0.2533760070800781,0.04600837081670761,0.0,0.0
21,현대제철(주),0.4100690484046936,0.2531771659851074,0.0,0.3358558118343353,0.0,0.0,0.0
22,두산에너빌리티(주),0.6249076128005981,0.0,0.0,0.27932432293891907,0.08861560374498367,0.0,0.0
23,(주)엘지생활건강,0.7059905529022217,0.0,0.0,0.0,0.060699038207530975,0.0,0.22938428819179535
24,기아(주),0.17532673478126526,0.06723007559776306,0.0,0.7233631610870361,0.0,0.033388473093509674,0.0
25,한국수력원자력(주),0.0,0.0,0.0,0.1908484846353531,0.8007717132568359,0.0,0.0
26,(유)스태츠칩팩코리아,0.0,0.1000133752822876,0.027303267270326614,0.7624659538269043,0.02502322569489479,0.08345329761505127,0.0
27,(주)바디프랜드,0.02421724610030651,0.0,0.17944654822349548,0.0,0.19040000438690186,0.24466261267662048,0.35629895329475403
28,(주)와이지-원,0.0162969958037138,0.30140671133995056,0.06647469103336334,0.0,0.0,0.5416686534881592,0.07094481587409973
29,(주)유라코퍼레이션,0.6426367163658142,0.029100699350237846,0.10213423520326614,0.0,0.16105061769485474,0.0213962160050869,0.04141397401690483
30,삼성디스플레이(주),0.6759592294692993,0.0,0.0,0.3231585621833801,0.0,0.0,0.0
31,(주)동원에프앤비,0.2792966961860657,0.03249533846974373,0.0,0.0,0.0,0.6525879502296448,0.035016246140003204
32,(주)LF,0.19081982970237732,0.0,0.029835708439350128,0.023059837520122528,0.3329114019870758,0.1174311488866806,0.305839478969574
33,(주)코리아써키트,0.0,0.4949758052825928,0.12678395211696625,0.29868122935295105,0.0,0.07927002012729645,0.0
34,삼성엔지니어링(주),0.8316542506217957,0.0,0.0,0.06299061328172684,0.09573426097631454,0.0,0.0
35,한국콜마(주),0.351600706577301,0.11789938062429428,0.05033304914832115,0.0,0.07700015604496002,0.2971579432487488,0.10259716212749481
36,세아상역(주),0.5408022403717041,0.0,0.023699697107076645,0.0,0.11661216616630554,0.29596519470214844,0.022502506151795387
37,해태제과식품(주),0.014745269902050495,0.10196898132562637,0.5455871224403381,0.23515282571315765,0.0,0.08805914968252182,0.01430539507418871
38,오뚜기(주),0.24517816305160522,0.17017032206058502,0.05209774523973465,0.14360912144184113,0.0,0.13417062163352966,0.2465662658214569
39,캐논코리아(주),0.8378562927246094,0.02659372240304947,0.01494454126805067,0.1178111582994461,0.0,0.0,0.0
40,한솔섬유(주),0.18332117795944214,0.0,0.0,0.0,0.3135897219181061,0.4905983805656433,0.0
41,에이치디현대인프라코어(주),0.8750101327896118,0.0,0.0,0.0,0.11965709924697876,0.0,0.0
42,에스엘(주),0.4343356192111969,0.3420763909816742,0.011712314561009407,0.15354762971401215,0.01597779616713524,0.021323617547750473,0.021026642993092537
43,한국수자원공사,0.04229411855340004,0.0,0.0,0.2565608024597168,0.6912329196929932,0.0,0.0
44,한국후지필름비즈니스이노베이션(주),0.5088912844657898,0.02942011132836342,0.0743178054690361,0.0,0.10992693901062012,0.13369177281856537,0.14200183749198914
45,코스맥스(주),0.06797905266284943,0.06685079634189606,0.14930406212806702,0.02483528107404709,0.06753399968147278,0.5790570378303528,0.044439829885959625
