,cmp,0,1,2,3,4,5,6,7
50,농림축산검역본부,0.0,0.0,0.038986314088106155,0.21840256452560425,0.0,0.7416654825210571,0.0,0.0
51,한국과학기술정보연구원,0.0,0.0,0.0,0.0,0.8502416610717773,0.14102298021316528,0.0,0.0
52,(재)대구경북과학기술원,0.0,0.0,0.2083263397216797,0.0,0.0,0.7874994277954102,0.0,0.0
53,한국고용정보원,0.0,0.9094968438148499,0.0,0.0,0.0,0.08756884187459946,0.0,0.0
54,(주)두산,0.6443608403205872,0.24799755215644836,0.0,0.10423910617828369,0.0,0.0,0.0,0.0
55,서울시교육청,0.0,0.28186193108558655,0.7125363945960999,0.0,0.0,0.0,0.0,0.0
56,한국개발연구원,0.0,0.0,0.0,0.0,0.0,0.9954351782798767,0.0,0.0
57,한국해양과학기술원,0.0,0.0943572148680687,0.0,0.0,0.0,0.9027966856956482,0.0,0.0
58,(주)엘에스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9871099591255188
59,한국보건복지인재원,0.0,0.0,0.9959231019020081,0.0,0.0,0.0,0.0,0.0
60,한국에너지기술연구원,0.0,0.0,0.0,0.0,0.0,0.9901523590087891,0.0,0.0
61,한국직업능력개발원,0.0,0.0,0.0,0.0,0.0,0.9853942394256592,0.0,0.0
62,한국교육학술정보원,0.27314162254333496,0.08324706554412842,0.3610230088233948,0.0,0.0,0.28014469146728516,0.0,0.0
63,마콜컨설팅그룹(주),0.4910837411880493,0.3572064936161041,0.0,0.0,0.13918697834014893,0.0,0.0,0.0
64,(재)한국기계전기전자시험연구원,0.0,0.37209784984588623,0.0,0.0,0.0,0.6244867444038391,0.0,0.0
65,한국보건산업진흥원,0.0,0.0,0.8294299840927124,0.0,0.0,0.011312203481793404,0.0,0.15649951994419098
66,에이티커니코리아(유),0.995185136795044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,법무법인광장,0.9963175058364868,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,특허법인 리앤목,0.0,0.0,0.0,0.9979180693626404,0.0,0.0,0.0,0.0
69,한국철도기술연구원,0.0,0.0,0.0,0.0,0.0,0.9931514859199524,0.0,0.0
70,(주)해커스어학연구소,0.0,0.0,0.0,0.6448760032653809,0.3530079424381256,0.0,0.0,0.0
71,한국법무보호복지공단,0.0,0.2831231951713562,0.03144413232803345,0.0,0.0,0.6818954348564148,0.0,0.0
72,한국기계연구원,0.0,0.0,0.0,0.0,0.6334573030471802,0.3623456358909607,0.0,0.0
73,한국소비자원,0.0,0.9971820712089539,0.0,0.0,0.0,0.0,0.0,0.0
74,농촌진흥청,0.0,0.0,0.0,0.8985686898231506,0.0,0.091800756752491,0.0,0.0
75,(재)경기도일자리재단,0.0,0.1706637442111969,0.6370257139205933,0.19071756303310394,0.0,0.0,0.0,0.0
76,경기신용보증재단,0.0,0.9932048320770264,0.0,0.0,0.0,0.0,0.0,0.0
77,한국문화관광연구원,0.0,0.0,0.0,0.0,0.18080662190914154,0.8112005591392517,0.0,0.0
78,법무법인(유)태평양,0.9500499367713928,0.0,0.0,0.0,0.0,0.0,0.0,0.046230532228946686
79,베인앤드컴퍼니코리아인크(주),0.1524694412946701,0.8435765504837036,0.0,0.0,0.0,0.0,0.0,0.0
80,한국표준과학연구원,0.0,0.0,0.0,0.0,0.0,0.9918092489242554,0.0,0.0
81,(재)대구테크노파크,0.36330875754356384,0.0,0.0787309780716896,0.5075036287307739,0.0,0.04767398536205292,0.0,0.0
82,(주)한국갤럽조사연구소,0.38360944390296936,0.2969041168689728,0.0,0.25477033853530884,0.0,0.061820536851882935,0.0,0.0
83,한국문화재재단,0.012145405635237694,0.3792468011379242,0.04481324180960655,0.09949787706136703,0.0,0.4627593457698822,0.0,0.0
84,(재)한국지질자원연구원,0.0,0.0,0.0,0.0,0.0,0.9884717464447021,0.0,0.0
85,국립수산과학원,0.0,0.14049655199050903,0.09370493143796921,0.19372709095478058,0.0,0.5700759887695312,0.0,0.0
86,한국산업기술진흥원,0.0,0.0,0.9941582679748535,0.0,0.0,0.0,0.0,0.0
87,한국환경정책평가연구원,0.0,0.0,0.0,0.0,0.0,0.9954825043678284,0.0,0.0
88,사회복지법인사회복지공동모금회,0.30720171332359314,0.0,0.34411585330963135,0.25721436738967896,0.0,0.08795405924320221,0.0,0.0
89,법무법인세종,0.0,0.0,0.0,0.0,0.0,0.0,0.9962867498397827,0.0
90,(재)한국과학창의재단,0.0,0.0,0.6844258904457092,0.3102823495864868,0.0,0.0,0.0,0.0
91,한국건설기술연구원,0.0,0.0,0.022939028218388557,0.5162274241447449,0.0,0.45431265234947205,0.0,0.0
92,(주)메디헬프라인,0.0,0.0,0.0,0.9965052008628845,0.0,0.0,0.0,0.0
93,한국원자력의학원,0.0,0.0,0.0,0.07024997472763062,0.45847222208976746,0.46689942479133606,0.0,0.0
94,한국저작권위원회,0.0,0.9871124625205994,0.0,0.0,0.0,0.0,0.0,0.0
95,(주)인앤아웃코퍼레이션,0.7450937628746033,0.0,0.07998140156269073,0.0,0.17134679853916168,0.0,0.0,0.0
96,동원엔터프라이즈(주),0.08439021557569504,0.0,0.0,0.675510823726654,0.022630169987678528,0.0,0.0,0.21433819830417633
97,중소기업기술정보진흥원,0.0,0.0,0.9977111220359802,0.0,0.0,0.0,0.0,0.0
98,한국해양수산개발원,0.0,0.0,0.0,0.0,0.0,0.6263197064399719,0.0,0.369904488325119
99,국토연구원,0.0,0.0,0.0,0.42437803745269775,0.0,0.569146454334259,0.0,0.0
100,한국건강가정진흥원,0.08693654835224152,0.6321892142295837,0.11413462460041046,0.02061290293931961,0.0,0.1444573998451233,0.0,0.0
101,한국행정연구원,0.0,0.0,0.0,0.2969537675380707,0.0,0.6990066170692444,0.0,0.0
102,신승회계법인,0.0,0.0,0.0,0.17272649705410004,0.0,0.0,0.0,0.8250177502632141
103,창업진흥원,0.0,0.9597066044807434,0.03778070583939552,0.0,0.0,0.0,0.0,0.0
104,성창기업지주(주),0.0,0.0,0.0,0.0,0.9896644949913025,0.0,0.0,0.0
105,한국교통연구원,0.0991976261138916,0.4763946831226349,0.15163418650627136,0.0,0.0,0.2689201831817627,0.0,0.0
106,한국식품연구원,0.22311712801456451,0.0,0.13495707511901855,0.0,0.0,0.6351923942565918,0.0,0.0
107,정보통신산업진흥원,0.0,0.6810994148254395,0.25371137261390686,0.0,0.0,0.0,0.0,0.06286124885082245
108,한국소방산업기술원,0.0,0.9177744388580322,0.051323823630809784,0.0,0.0,0.028325242921710014,0.0,0.0
