,cmp,0,1,2,3,4,5,6,7
52,(주)이디엠에듀케이션,0.0,0.0,0.6298472285270691,0.0,0.0,0.0,0.0,0.3388603627681732
53,울산과학기술원,0.5679759383201599,0.16084159910678864,0.26747825741767883,0.0,0.0,0.0,0.0,0.0
54,포항공과대학교,0.9956831336021423,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,한국교육과정평가원,0.0,0.993740975856781,0.0,0.0,0.0,0.0,0.0,0.0
56,(주)티티씨에듀,0.0,0.0,0.0,0.0,0.9869202971458435,0.0,0.0,0.0
57,서울시립대학교,0.9858694076538086,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,동서대학교,0.8765116333961487,0.0,0.0,0.11812305450439453,0.0,0.0,0.0,0.0
59,충남대학교,0.5235934257507324,0.4676731824874878,0.0,0.0,0.0,0.0,0.0,0.0
60,지아이티아카데미(주),0.0,0.0,0.758967936038971,0.0,0.23417408764362335,0.0,0.0,0.0
61,서강대학교,0.5537471175193787,0.0,0.0,0.4374176859855652,0.0,0.0,0.0,0.0
62,(주)코리아폴리스쿨,0.0,0.0,0.22946783900260925,0.0,0.5195596814155579,0.24756991863250732,0.0,0.0
63,(주)아이비김영,0.0,0.0,0.0,0.0,0.0,0.0,0.9921783804893494,0.0
64,(유)씨앤씨미술교육지원센터,0.21762996912002563,0.0,0.0,0.0,0.148531973361969,0.0,0.0,0.6148591637611389
65,(주)아토스터디,0.0,0.9903703927993774,0.0,0.0,0.0,0.0,0.0,0.0
66,계명대학교 산학협력단,0.0,0.0,0.1767536848783493,0.8152534365653992,0.0,0.0,0.0,0.0
67,한양사이버대학교,0.9940797090530396,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,전북대학교,0.013921024277806282,0.013900937512516975,0.013904299587011337,0.2007599025964737,0.013905573636293411,0.013907292857766151,0.5918914079666138,0.13780958950519562
69,(주)하이컨시,0.0,0.25185754895210266,0.010315652005374432,0.0,0.0,0.0,0.0,0.7347124814987183
70,국가평생교육진흥원,0.4147600531578064,0.0,0.5766051411628723,0.0,0.0,0.0,0.0,0.0
71,이에프에듀케이션퍼스트코리아(주),0.0,0.0,0.9662623405456543,0.0,0.0,0.0,0.0,0.0
72,이코랜스(주),0.0,0.9817423224449158,0.0,0.0,0.0,0.0,0.0,0.0
73,잉글리쉬앤(주),0.0,0.0,0.9769412279129028,0.0,0.0,0.0,0.0,0.0
