,cmp,0,1,2,3,4,5,6,7,8,9
0,(주)티몬,0.0,0.04117865487933159,0.0,0.10138872265815735,0.0,0.1394602209329605,0.0705762505531311,0.12169186770915985,0.012695739977061749,0.5128669738769531
1,(주)위메프,0.0,0.39899078011512756,0.0,0.12711787223815918,0.0,0.011631605215370655,0.02355889417231083,0.0,0.032368775457143784,0.40124043822288513
2,(주)엘지유플러스,0.0,0.0,0.0,0.10594252496957779,0.0,0.0,0.0,0.0,0.8834847211837769,0.0
3,삼성에스디에스(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9916284084320068,0.0
4,(주)엘지씨엔에스,0.0,0.0,0.0,0.2640615403652191,0.0,0.0,0.0,0.0,0.7354156374931335,0.0
5,(주)케이티,0.0,0.0,0.0,0.028040753677487373,0.0,0.0,0.06451591104269028,0.0,0.9044181108474731,0.0
6,네이버(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023774059489369392,0.650436520576477,0.31995245814323425
7,(주)더존비즈온,0.1176472157239914,0.0,0.0,0.768989086151123,0.0,0.0,0.026573821902275085,0.04282841458916664,0.03416213393211365,0.0
8,롯데정보통신(주),0.0,0.0,0.0,0.4129320979118347,0.0,0.0,0.0,0.0,0.5865501761436462,0.0
9,효성아이티엑스(주),0.07068917155265808,0.0,0.0,0.887473464012146,0.0,0.0,0.0,0.03619147092103958,0.0,0.0
10,(주)카카오,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2612818479537964,0.7380517721176147
11,(주)케이티씨에스,0.03312128782272339,0.0,0.0,0.8856900930404663,0.0,0.0,0.0,0.0,0.0795111134648323,0.0
12,(주)엔씨소프트,0.0,0.02840465120971203,0.0,0.02736901305615902,0.0,0.0,0.0,0.06857968121767044,0.6049869060516357,0.2690882086753845
13,카페24(주),0.030497053638100624,0.20866696536540985,0.0,0.2953440546989441,0.0,0.0,0.03583585470914841,0.09797251969575882,0.2218485027551651,0.10052595287561417
14,(주)야놀자,0.0,0.2053893655538559,0.0,0.08583177626132965,0.018451428040862083,0.05153404921293259,0.0,0.17327693104743958,0.12531159818172455,0.33251985907554626
15,씨제이올리브네트웍스(주),0.0,0.010528365150094032,0.0,0.1513463705778122,0.0,0.0,0.010007728822529316,0.013812786899507046,0.8017203211784363,0.012060635723173618
16,에스케이플래닛(주),0.0,0.0,0.0,0.0,0.0,0.0,0.010346643626689911,0.0,0.9812166094779968,0.0
17,(주)지마켓,0.0,0.2747807502746582,0.0,0.0,0.2566230297088623,0.0,0.0,0.0,0.43270695209503174,0.035126786679029465
18,SK텔레콤(주),0.0,0.0,0.0,0.0,0.0,0.021821700036525726,0.0,0.0,0.6805101633071899,0.2870062589645386
19,요기요,0.0,0.08901042491197586,0.0,0.28135934472084045,0.2733951508998871,0.0,0.0,0.25153037905693054,0.07118221372365952,0.021740134805440903
20,(주)안랩,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996289849281311,0.0
21,(주)넥슨코리아,0.0,0.043843794614076614,0.0,0.0,0.0,0.0,0.0,0.0,0.817836582660675,0.13202965259552002
22,(주)사람인,0.0,0.05963489040732384,0.0,0.09981805831193924,0.0,0.09400549530982971,0.0,0.17150135338306427,0.22402477264404297,0.3506223261356354
23,(주)인라이플,0.0,0.0,0.0,0.0,0.0,0.999720573425293,0.0,0.0,0.0,0.0
24,(주)케이티아이에스,0.0,0.0,0.0,0.9358256459236145,0.0,0.0,0.0,0.0,0.06278230994939804,0.0
25,한국아이비엠(주),0.0,0.0,0.0,0.0,0.0,0.0,0.9847139716148376,0.0,0.012931980192661285,0.0
26,(주)인피닉,0.1299782544374466,0.0,0.0,0.5672361254692078,0.0,0.0,0.01054477971047163,0.0,0.2912907898426056,0.0
27,(주)티맥스소프트,0.0,0.0,0.0,0.5677260160446167,0.0,0.010336380451917648,0.0,0.30721330642700195,0.10056259483098984,0.0
28,(주)케이티알파,0.0,0.03602196276187897,0.0,0.07608810812234879,0.1289961040019989,0.07908269017934799,0.038628168404102325,0.0,0.6371746063232422,0.0
29,(주)우아한형제들,0.0,0.07316461205482483,0.0,0.0,0.0,0.036558132618665695,0.0,0.23853835463523865,0.3220847249031067,0.32918983697891235
30,(주)미라콤아이앤씨,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9923455119132996,0.0
31,엔에이치엔(주),0.0,0.0666971430182457,0.0,0.011150486767292023,0.0,0.0,0.51813143491745,0.012600613757967949,0.33437496423721313,0.05659967660903931
32,현대오토에버(주),0.0,0.0,0.0,0.016813384369015694,0.0,0.0,0.0,0.0,0.9820937514305115,0.0
33,(주)케이티디에스,0.0,0.0,0.0,0.0825691744685173,0.0,0.0,0.01719706319272518,0.0,0.8996061682701111,0.0
34,(주)코리아센터,0.0,0.03957882151007652,0.0,0.8639330863952637,0.0,0.031494542956352234,0.0,0.0,0.05155400186777115,0.01263013668358326
35,콘센트릭스서비스코리아(유),0.03830457478761673,0.0,0.0,0.5158552527427673,0.0,0.0,0.0956217423081398,0.30981573462486267,0.036406178027391434,0.0
36,(주)이글루코퍼레이션,0.0,0.0,0.0,0.06637051701545715,0.0,0.0,0.14037802815437317,0.0,0.7906744480133057,0.0
37,(주)신한디에스,0.0,0.0,0.0,0.04796970635652542,0.0,0.0,0.028410468250513077,0.0,0.9136589765548706,0.0
38,라인플러스(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9121202230453491,0.08640288561582565
