,cmp,0,1,2,3,4
103,제이티친애저축은행(주),0.0,0.0,0.0,0.993826150894165,0.0
104,아프로파이낸셜대부(주),0.0,0.7021501064300537,0.0,0.2853039503097534,0.0
105,예금보험공사,0.0,0.0,0.0,0.26077377796173096,0.7310187816619873
106,비엠더블유파이낸셜서비스코리아(주),0.0,0.7663925886154175,0.0,0.22842325270175934,0.0
107,프라임에셋(주),0.952642560005188,0.0,0.0,0.0,0.042883098125457764
108,에이비엘생명보험(주),0.0,0.0,0.6228698492050171,0.36632055044174194,0.0
109,메르세데스벤츠파이낸셜서비스코리아(주),0.0,0.16275456547737122,0.18893040716648102,0.6452236175537109,0.0
110,오릭스캐피탈코리아(주),0.0,0.0,0.15249527990818024,0.8454588055610657,0.0
111,(주)페퍼저축은행,0.0,0.0,0.7251157164573669,0.27302175760269165,0.0
112,신한저축은행(주),0.0,0.0,0.6961965560913086,0.2983498275279999,0.0
113,케이비생명보험(주),0.0,0.5313143730163574,0.46374982595443726,0.0,0.0
114,디비생명보험(주),0.0,0.0,0.0,0.9850867390632629,0.0
115,미쓰비시도쿄유에프제이은행서울지점(주),0.0,0.0,0.9800260663032532,0.0,0.0
116,한국벤처투자,0.24157048761844635,0.0,0.41371533274650574,0.020436370745301247,0.3224456310272217
117,에이아이지손해보험(주),0.0,0.0,0.0,0.9954710602760315,0.0
118,(주)핀크,0.0,0.0,0.9975196123123169,0.0,0.0
119,하나손해보험(주),0.0,0.0,0.8523439168930054,0.14438951015472412,0.0
120,디비씨에이에스손해사정(주),0.986367404460907,0.0,0.0,0.0,0.0
121,미래에셋자산운용(주),0.0,0.5635196566581726,0.41537317633628845,0.017047656700015068,0.0
122,현대차증권(주),0.0,0.0,0.0,0.9928668737411499,0.0
123,애큐온캐피탈(주),0.13007649779319763,0.8658676743507385,0.0,0.0,0.0
124,유화증권(주),0.5570446252822876,0.0,0.05188906565308571,0.3853449523448944,0.0
125,에스케이증권(주),0.0,0.0,0.9920454621315002,0.0,0.0
126,이베스트투자증권(주),0.0,0.0,0.9925788640975952,0.0,0.0
127,새마을금고중앙회,0.24377946555614471,0.43103212118148804,0.142074853181839,0.0,0.18184782564640045
128,아이비케이투자증권(주),0.0,0.0,0.0,0.9961188435554504,0.0
129,중국은행서울지점,0.0,0.0,0.0,0.34101319313049316,0.6557565927505493
130,한국외환은행(주),0.03448352590203285,0.03401114046573639,0.0340130440890789,0.03390457481145859,0.8635876774787903
131,(주)한국거래소,0.0,0.5557532906532288,0.0,0.0,0.44001439213752747
132,(주)한빛자산관리대부,0.995850682258606,0.0,0.0,0.0,0.0
133,전북은행(주),0.3355095088481903,0.5841588377952576,0.0,0.0,0.07538970559835434
134,농협손해보험(주),0.0,0.9884194135665894,0.0,0.0,0.0
135,한국예탁결제원,0.15779297053813934,0.0,0.0,0.0,0.8344959616661072
136,브이피(주),0.0,0.0,0.0,0.9758244156837463,0.0
137,건설근로자공제회,0.0,0.0,0.0,0.0,0.989359974861145
138,엠캐피탈(주),0.9906687140464783,0.0,0.0,0.0,0.0
139,한패스(주),0.0,0.8931768536567688,0.06521174311637878,0.04101138189435005,0.0
140,(주)바로크레디트대부,0.0,0.0,0.9706782698631287,0.0,0.0
141,(주)글로벌금융판매,0.0,0.0,0.0,0.9964404702186584,0.0
142,현대하이카손해사정(주),0.31798887252807617,0.0,0.0,0.0,0.6645024418830872
143,아이비케이캐피탈(주),0.0,0.0,0.0,0.8998216390609741,0.09389377385377884
144,다올투자증권(주),0.0,0.29267245531082153,0.12394849210977554,0.5806582570075989,0.0
145,한국예술인복지재단,0.0,0.21204452216625214,0.0,0.0,0.7852791547775269
