,cmp,0,1,2,3,4,5,6
53,서비스에이스(주),0.0,0.0,0.0,0.0,0.9974454045295715,0.0,0.0
54,서비스탑(주),0.0,0.0,0.0,0.0,0.9973599910736084,0.0,0.0
55,키자니아,0.0,0.0,0.9243138432502747,0.03567475080490112,0.037610430270433426,0.0,0.0
56,티지아이프라이데이스 (매장),0.0,0.0,0.0,0.988530158996582,0.0,0.0,0.0
57,삼성전자서비스(주),0.0,0.0,0.0,0.0,0.9954211711883545,0.0,0.0
58,(주)호텔롯데,0.0,0.0,0.0,0.31938081979751587,0.6788483262062073,0.0,0.0
59,(주)윌앤비전,0.0,0.7288949489593506,0.2693849802017212,0.0,0.0,0.0,0.0
60,(주)맥서브,0.0,0.6504616737365723,0.3479548990726471,0.0,0.0,0.0,0.0
61,(주)한국고용정보,0.0,0.8829420208930969,0.0,0.0,0.11515319347381592,0.0,0.0
62,대명레저산업(주),0.0,0.0,0.0,0.97390216588974,0.0,0.0,0.0
63,(주)쏘카,0.626557469367981,0.0,0.0,0.0,0.2303551733493805,0.0,0.1415453851222992
64,(주)레드캡투어,0.0,0.0,0.0,0.0,0.9958835244178772,0.0,0.0
65,(주)한솥,0.0,0.0,0.0,0.0,0.0,0.0,0.9949802160263062
66,(주)약손명가,0.0,0.0,0.585146427154541,0.0,0.0,0.0,0.41176173090934753
67,본아이에프(주),0.0,0.0,0.1299544870853424,0.0,0.27303507924079895,0.0,0.5946584343910217
68,(주)디앤오,0.09070562571287155,0.0,0.0,0.22425223886966705,0.478419691324234,0.0,0.20574438571929932
69,내일투어(주),0.0,0.0,0.0,0.0,0.0,0.9871639013290405,0.0
70,(재)에프아이티아이시험연구원,0.0,0.39288800954818726,0.48685064911842346,0.0,0.1185532882809639,0.0,0.0
71,국립공원공단,0.039715662598609924,0.7524774074554443,0.2051009237766266,0.0,0.0,0.0,0.0
72,(주)엔에이치엔여행박사,0.5442069172859192,0.43469205498695374,0.0,0.0,0.0,0.0,0.0
73,롯데관광개발(주),0.0,0.0,0.01038281712681055,0.0,0.6775997877120972,0.1913294494152069,0.11891623586416245
74,해비치호텔앤드리조트(주),0.0,0.0,0.0,0.9962518811225891,0.0,0.0,0.0
75,(주)코엑스,0.0,0.0,0.0,0.0,0.0,0.0,0.9917255640029907
76,인컴즈(주),0.0,0.07793378084897995,0.0,0.0,0.9199748039245605,0.0,0.0
77,(주)씨에스원파트너,0.0,0.0,0.0,0.0,0.9963985681533813,0.0,0.0
78,케이티텔레캅(주),0.0,0.0,0.0,0.0,0.9975549578666687,0.0,0.0
