,company_name,adv_topic_0,adv_topic_1,adv_topic_2,adv_topic_3,adv_topic_4,adv_topic_5,dadv_topic_0,dadv_topic_1,dadv_topic_2,dadv_topic_3,dadv_topic_4,dadv_topic_5,dadv_topic_6,average_salary,total_sale,turn_over_rate
68,인카금융서비스,0.0,0.1143224462866783,0.0110497754067182,0.2200020849704742,0.3921147286891937,0.2616550922393799,0.3166506290435791,0.1410772651433944,0.0,0.0,0.1793383806943893,0.3039765059947967,0.0571861639618873,4530,3143.3,0.23
69,수산업협동조합중앙회,0.9872481226921082,0.0,0.0,0.0,0.0,0.0,0.1696442514657974,0.1900115609169006,0.0,0.0,0.4548633992671966,0.1836412698030471,0.0,6082,1700.0,0.12
70,에즈금융서비스,0.0129004018381237,0.0,0.0965848192572593,0.2505536377429962,0.4846588969230652,0.1542991399765014,0.1110414564609527,0.0508700981736183,0.0,0.0,0.0,0.2169319093227386,0.6192598342895508,3506,1530.6,0.3
71,부산은행,0.7161299586296082,0.0,0.0,0.0,0.2745075225830078,0.0,0.0,0.3706611692905426,0.0,0.0,0.0,0.6179516911506653,0.0,11446,2700.0,0.12
72,광주은행,0.6681357622146606,0.0,0.0,0.0433792173862457,0.2849288880825043,0.0,0.0,0.0,0.2255265563726425,0.0,0.0,0.768989086151123,0.0,9814,9413.1,0.19
73,웰컴크레디라인대부,0.0,0.0,0.0,0.0,0.0,0.9662663340568542,0.0110490042716264,0.0110445162281394,0.0110498974099755,0.011031693778932,0.0110457437112927,0.9337406754493712,0.0110384803265333,4608,735.6,0.99
74,고려신용정보,0.0,0.0,0.2180473655462265,0.2325415760278701,0.1302599608898162,0.4177467823028564,0.0335337556898593,0.1896494030952453,0.2258621603250503,0.0856672972440719,0.1244430691003799,0.0488950982689857,0.2919491827487945,3830,1422.5,0.39
75,한국투자저축은행,0.1375263184309005,0.1336356252431869,0.5452326536178589,0.0,0.1818511486053466,0.0,0.1478920131921768,0.4046513140201568,0.2071924209594726,0.0265628863126039,0.2122295647859573,0.0,0.0,6032,2562.1,0.21
76,엔에이치농협캐피탈,0.4503917694091797,0.0105127291753888,0.4376190900802612,0.0994510576128959,0.0,0.0,0.0,0.3950872421264648,0.0,0.0,0.6021319031715393,0.0,0.0,8224,3750.6,0.22
77,롯데캐피탈,0.1321094334125518,0.0,0.3679697215557098,0.0,0.3869287669658661,0.1096910834312439,0.3598154783248901,0.2941043674945831,0.0,0.0,0.3409089744091034,0.0,0.0,8394,9970.3,0.12
78,한국무역보험공사,0.9908469319343568,0.0,0.0,0.0,0.0,0.0,0.0,0.1568721830844879,0.2277169823646545,0.0,0.2548556327819824,0.355773001909256,0.0,9274,1400.0,0.12
79,우리카드,0.9381369948387146,0.0,0.0555639751255512,0.0,0.0,0.0,0.0,0.0,0.2370047569274902,0.0,0.5607072114944458,0.1979388147592544,0.0,9147,1300.0,0.13
80,신용협동조합중앙회,0.8284145593643188,0.0,0.0,0.0,0.1675757020711898,0.0,0.0,0.2535141110420227,0.0,0.0,0.088634967803955,0.654571533203125,0.0,6032,2000.0,0.13
81,신한생명보험,0.0422144569456577,0.0,0.4847777485847473,0.0,0.4634642302989959,0.0,0.0,0.0,0.0,0.0,0.7659010291099548,0.224904403090477,0.0,12393,5400.0,0.06
82,제이비우리캐피탈,0.2155821174383163,0.1228478327393531,0.2382806688547134,0.0,0.3421348929405212,0.0797278136014938,0.0,0.8036112785339355,0.0,0.0,0.0,0.066674530506134,0.1255547851324081,8879,6599.2,0.17
83,케이디비생명보험,0.3264824450016022,0.0,0.665390133857727,0.0,0.0,0.0,0.2058155685663223,0.1057565063238143,0.0,0.0,0.6832572221755981,0.0,0.0,8099,3600.0,0.13
84,동양생명보험,0.6825295686721802,0.0,0.232698306441307,0.0,0.0,0.07699466496706,0.0,0.0,0.0,0.0,0.987873673439026,0.0,0.0,9467,6200.0,0.28
85,유진투자증권,0.2827026546001434,0.1440956145524978,0.1416444927453994,0.3871055543422699,0.0434313714504241,0.0,0.128748208284378,0.0,0.0677123218774795,0.0,0.7570223212242126,0.0441126711666584,0.0,11994,8775.5,0.17
86,농협생명보험,0.4180090725421905,0.0,0.3147703111171722,0.0,0.2639167904853821,0.0,0.1634221225976944,0.2035989910364151,0.0,0.0,0.2478626519441604,0.3826837837696075,0.0,10974,9600.0,0.12
87,에이플러스에셋어드바이저,0.0597041025757789,0.0,0.0,0.0,0.6993210911750793,0.236828401684761,0.3729473650455475,0.1307688653469085,0.0,0.0,0.2491892874240875,0.1021393239498138,0.1430914551019668,4387,2183.8,0.3
88,제이티친애저축은행,0.4148745834827423,0.0,0.0,0.0,0.0,0.5761446952819824,0.0946966558694839,0.1288436502218246,0.0,0.0236954875290393,0.6916954517364502,0.0,0.0591421015560627,5638,2130.4,0.18
89,아프로파이낸셜대부,0.480729341506958,0.0,0.3401049375534057,0.0,0.164301723241806,0.0,0.4043749868869781,0.0,0.0,0.0,0.5820867419242859,0.0,0.0,4891,4114.0,0.99
90,예금보험공사,0.8958267569541931,0.0,0.0,0.0954221859574318,0.0,0.0,0.0,0.4034160077571869,0.0,0.0,0.0,0.5878340601921082,0.0,8950,2100.0,0.23
91,비엠더블유파이낸셜서비스코리아,0.0,0.0,0.0300057735294103,0.65204918384552,0.0,0.3104202449321747,0.0,0.5795619487762451,0.4164729118347168,0.0,0.0,0.0,0.0,5877,7029.4,0.33
92,프라임에셋,0.0,0.0,0.0,0.5120515823364258,0.2956266701221466,0.1891614496707916,0.0,0.1555277854204177,0.0,0.0,0.0,0.6123459339141846,0.2283746153116226,5357,3071.2,0.19
93,에이비엘생명보험,0.2089259177446365,0.0,0.4317538738250732,0.3470030725002289,0.0,0.0,0.0,0.0,0.0,0.0,0.7483829855918884,0.240231841802597,0.0,8866,2600.0,0.14
94,메르세데스벤츠파이낸셜서비스코리아,0.0850332453846931,0.0,0.0,0.4155957102775574,0.0,0.4917999804019928,0.0,0.158574640750885,0.4754289388656616,0.0,0.3622448146343231,0.0,0.0,7709,2024.4,0.3
95,오릭스캐피탈코리아,0.3570977747440338,0.0,0.2478426396846771,0.2393024116754531,0.1542258709669113,0.0,0.0385737903416156,0.014226428233087,0.0351717621088027,0.0,0.5622811913490295,0.3439790606498718,0.0,6235,3480.6,0.18
96,페퍼저축은행,0.058285791426897,0.0,0.0138510027900338,0.0,0.0272049382328987,0.8994370698928833,0.1613554209470749,0.0,0.0793602243065834,0.0,0.7180690169334412,0.0,0.040006048977375,6032,2885.1,0.12
97,신한저축은행,0.2981155216693878,0.0,0.5605254769325256,0.1369615644216537,0.0,0.0,0.0716118291020393,0.4205533564090729,0.126883864402771,0.0,0.3771972358226776,0.0,0.0,6032,1178.8,0.2
98,디비생명보험,0.4127195179462433,0.076163649559021,0.0705960541963577,0.3570993542671203,0.0821448266506195,0.0,0.0921076163649559,0.0,0.2435352802276611,0.1393382400274276,0.418151706457138,0.1046928018331527,0.0,7626,2300.0,0.08
99,한국벤처투자,0.6151552200317383,0.0,0.0,0.3803262412548065,0.0,0.0,0.0,0.0,0.1181652173399925,0.2783780395984649,0.3771275877952575,0.2230686098337173,0.0,7001,248.8,0.09
100,에이아이지손해보험,0.2363420724868774,0.0,0.140197217464447,0.4859619140625,0.09108816832304,0.0450200140476226,0.011089488863945,0.2578773200511932,0.1825450211763382,0.0,0.5465315580368042,0.0,0.0,6032,8640.3,0.11
101,핀크,0.2155583053827285,0.0,0.0,0.6517886519432068,0.0,0.1312766671180725,0.0,0.0,0.5521087050437927,0.0,0.4459994733333587,0.0,0.0,5805,59.4,0.33
102,디비씨에이에스손해사정,0.0,0.0,0.5277835726737976,0.0,0.4572433233261108,0.0,0.0,0.0,0.0,0.0,0.0,0.7264288663864136,0.2623618543148041,5510,478.8,0.3
103,미래에셋자산운용,0.157917633652687,0.0,0.0,0.8357294797897339,0.0,0.0,0.0,0.078769214451313,0.3619281351566314,0.0,0.5539376735687256,0.0,0.0,13847,2705.5,0.18
104,현대차증권,0.0,0.26954385638237,0.5879155993461609,0.1377255767583847,0.0,0.0,0.508621335029602,0.3551677763462066,0.0,0.0,0.1313872039318084,0.0,0.0,12129,6792.7,0.12
105,애큐온캐피탈,0.3144347965717315,0.0,0.0,0.4528501629829407,0.1089542806148529,0.1203923746943473,0.0,0.1231477260589599,0.3672891855239868,0.0,0.4078075885772705,0.0580012015998363,0.0419377014040946,9961,2691.6,0.21
106,유화증권,0.2974335253238678,0.0,0.0,0.1289156973361969,0.5677030682563782,0.0,0.0,0.0,0.0,0.0,0.3966677486896515,0.240858182311058,0.3552961945533752,4605,206.7,0.38
107,에스케이증권,0.0,0.0,0.6234281063079834,0.181077778339386,0.1083851009607315,0.0821531936526298,0.0,0.3505239188671112,0.0,0.0,0.6432374119758606,0.0,0.0,12280,5627.3,0.18
108,이베스트투자증권,0.2387057095766067,0.035679992288351,0.2562000751495361,0.2952150702476501,0.0,0.1730690151453018,0.0,0.180260345339775,0.0,0.0,0.8144642114639282,0.0,0.0,18665,1100.0,0.21
109,새마을금고중앙회,0.5985952615737915,0.1085849106311798,0.0864600986242294,0.0,0.2044696807861328,0.0,0.2217282801866531,0.4306633472442627,0.0156024508178234,0.0,0.2256203889846801,0.1048822328448295,0.0,6082,5200.0,0.06
110,아이비케이투자증권,0.2515311241149902,0.0,0.0667168200016021,0.2726095616817474,0.0,0.4015872180461883,0.3828260600566864,0.0,0.1802448779344558,0.0,0.2946911752223968,0.1403496712446212,0.0,10791,1100.0,0.18
111,한국거래소,0.6587817072868347,0.1611111760139465,0.0,0.0,0.0,0.1768468618392944,0.0,0.704795241355896,0.0,0.0635310336947441,0.0,0.2277407050132751,0.0,6032,3861.7,0.11
112,전북은행,0.6166542768478394,0.0,0.0,0.0327459685504436,0.3459202349185943,0.0,0.0238553248345851,0.4585234224796295,0.0,0.2362485527992248,0.0,0.0668139606714248,0.2112596333026886,9966,7096.4,0.18
113,농협손해보험,0.7008283734321594,0.0,0.2332341372966766,0.0,0.0,0.0601918660104274,0.0,0.988958477973938,0.0,0.0,0.0,0.0,0.0,10142,4900.0,0.12
114,한국예탁결제원,0.9137411117553712,0.0793807059526443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.254288762807846,0.7372726202011108,0.0,10745,2688.8,0.09
115,브이피,0.4199198484420776,0.0,0.4773676693439483,0.0933484807610511,0.0,0.0,0.0,0.0,0.2769401967525482,0.0,0.7046632170677185,0.0,0.0,5769,655.8,0.29
116,한패스,0.0,0.0,0.0,0.1540143489837646,0.0,0.8440821766853333,0.0,0.0,0.1437432914972305,0.0,0.2083835899829864,0.0,0.6471278667449951,4115,195.1,0.6
117,바로크레디트대부,0.9352598190307616,0.012895543128252,0.0129445167258381,0.0129406554624438,0.0129550080746412,0.0130044315010309,0.6466301679611206,0.0,0.0,0.0,0.0,0.0,0.3267969787120819,4354,1133.0,0.22
118,글로벌금융판매,0.0730381533503532,0.0,0.0185412261635065,0.4424972534179687,0.2407746911048889,0.2235734164714813,0.0,0.0,0.4324424862861633,0.0,0.2082318812608719,0.2158629745244979,0.1418624818325042,3442,4473.3,0.46
119,현대하이카손해사정,0.0,0.2872294485569,0.4784438908100128,0.2216953486204147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9784812331199646,0.0,6082,1294.9,0.08
120,아이비케이캐피탈,0.7959414124488831,0.0,0.1989167332649231,0.0,0.0,0.0,0.0,0.0737837776541709,0.0,0.1407999694347381,0.4632783830165863,0.3184909224510193,0.0,9880,3933.2,0.06
121,한국예술인복지재단,0.7095528841018677,0.0,0.0,0.2856697738170624,0.0,0.0,0.0,0.300487220287323,0.2844172120094299,0.0,0.0,0.3888774514198303,0.0246061738580465,4651,864.2,1.0
122,한국토지주택공사,0.8159225583076477,0.0379237532615661,0.0,0.0144449705258011,0.0855590552091598,0.0460673235356807,0.0,0.1314253062009811,0.0112088005989789,0.0,0.0,0.8520945906639099,0.0,8179,27100.0,0.09
123,한전KPS,0.7505155205726624,0.0,0.0,0.0173173211514949,0.2282383292913437,0.0,0.0,0.5281471014022827,0.0,0.0,0.0,0.4629186391830444,0.0,7846,1200.0,0.13
124,대우건설,0.11023710668087,0.3463793992996216,0.0,0.4681817889213562,0.0743021219968795,0.0,0.1114583313465118,0.4805150032043457,0.0575056821107864,0.0,0.3498126864433288,0.0,0.0,2508,4.7,0.39
